"Hijos","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Edad.Jefe","Edad.Conyuge","Region","Estrato.vivienda","Trabajo.Jefe","Trabajo.conyuge","Ingresos.totales","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge","Edu.Jefe","Edu.Conyuge"
0,2,NA,4,48,NA,3,1,1,NA,350000,0,NA,1,NA
4,2,NA,4,36,NA,3,1,1,NA,700000,2,NA,1,NA
0,1,NA,5,50,NA,3,1,2,NA,600000,0,NA,1,NA
1,1,2,6,26,35,3,2,1,1,2140000,2,2,1,3
0,1,NA,4,59,NA,3,3,1,NA,900000,0,NA,0,NA
2,1,2,1,28,23,3,3,1,4,1750000,2,2,3,1
0,1,NA,2,59,NA,3,3,1,NA,1375000,0,NA,1,NA
2,2,NA,4,35,NA,3,3,1,NA,2366666,2,NA,3,NA
0,1,NA,5,27,NA,3,2,1,NA,2000000,2,NA,3,NA
3,2,NA,5,34,NA,3,1,2,NA,50000,0,NA,1,NA
0,1,NA,5,61,NA,3,1,1,NA,30000,0,NA,1,NA
2,1,2,2,50,45,3,1,1,4,600000,0,0,1,1
2,1,2,2,47,42,3,1,1,4,390000,0,2,1,1
1,2,NA,5,26,NA,3,1,1,NA,904000,2,NA,1,NA
0,1,2,2,25,16,3,1,1,4,300000,0,2,1,3
1,2,NA,5,26,NA,3,1,1,NA,8200000,2,NA,1,NA
0,2,NA,5,49,NA,3,2,1,NA,1000000,2,NA,1,NA
1,1,2,2,44,42,3,3,1,4,1090000,2,2,1,3
0,1,NA,5,53,NA,3,3,1,NA,1200000,0,NA,1,NA
1,2,NA,4,41,NA,3,3,1,NA,200000,0,NA,1,NA
1,2,1,2,41,51,3,3,4,1,800000,2,0,3,1
0,2,NA,5,76,NA,3,3,1,NA,300000,0,NA,1,NA
1,2,NA,3,93,NA,3,3,5,NA,775000,0,NA,0,NA
2,1,2,2,40,31,3,1,2,1,400000,0,1,1,1
0,1,NA,3,69,NA,3,3,1,NA,99,0,NA,1,NA
0,2,NA,4,55,NA,3,1,4,NA,4166,2,NA,1,NA
0,1,2,6,61,55,3,1,4,4,183333,2,2,1,1
2,2,NA,4,34,NA,3,1,4,NA,56666,2,NA,1,NA
2,1,2,2,26,22,3,1,1,4,620000,0,0,3,3
2,1,2,2,54,42,3,1,1,4,1000000,2,2,1,1
1,1,2,6,48,45,3,1,1,1,1300000,2,2,1,1
3,2,NA,4,35,NA,3,1,4,NA,230000,1,NA,3,NA
0,2,NA,3,79,NA,3,1,4,NA,100000,0,NA,1,NA
0,1,2,2,43,50,3,2,2,4,0,0,0,1,1
1,1,2,6,53,42,3,3,1,4,880000,0,0,1,1
4,1,2,2,45,41,3,1,2,4,50000,0,0,1,1
1,1,2,6,38,27,3,1,1,1,3216250,2,2,1,1
0,1,2,6,71,64,3,2,1,4,300000,0,0,1,1
0,1,2,6,62,62,3,2,1,4,2066666,0,0,0,1
3,1,2,6,59,51,3,1,1,4,300000,0,0,1,1
0,1,NA,5,30,NA,3,1,1,NA,1059000,2,NA,1,NA
3,1,NA,2,49,NA,3,1,1,NA,800000,0,NA,1,NA
0,1,2,2,32,42,3,1,1,4,2700000,2,2,1,1
3,1,2,2,28,26,3,1,1,4,1000000,2,0,1,1
2,2,1,6,44,46,3,1,1,1,750000,2,2,1,1
1,1,2,6,49,43,3,1,1,1,1272333,2,2,1,3
2,2,NA,4,54,NA,3,1,1,NA,485000,0,NA,1,NA
4,1,2,6,46,35,3,2,1,4,1500000,0,0,1,1
1,1,NA,4,73,NA,3,2,6,NA,2600000,2,NA,3,NA
0,1,NA,5,14,NA,3,1,3,NA,12500,2,NA,3,NA
0,1,NA,5,45,NA,3,2,1,NA,4915000,2,NA,3,NA
3,2,NA,2,34,NA,3,1,4,NA,0,0,NA,1,NA
2,2,NA,4,22,NA,3,1,4,NA,541666,2,NA,1,NA
0,1,NA,5,35,NA,3,1,1,NA,400000,2,NA,1,NA
1,2,NA,2,22,NA,3,1,4,NA,833333,1,NA,1,NA
0,2,NA,3,87,NA,3,1,1,NA,230000,0,NA,0,NA
0,2,NA,3,59,NA,3,0,4,NA,83333,0,NA,0,NA
0,1,2,6,62,61,3,1,1,4,30098,0,0,1,1
1,1,2,2,31,21,3,1,1,4,1633333,0,1,1,1
4,2,NA,4,32,NA,3,1,4,NA,933333,2,NA,1,NA
2,1,2,2,20,20,3,1,1,4,1500000,0,0,1,1
3,1,2,6,45,38,3,1,1,4,3633333,0,0,1,1
2,2,NA,4,47,NA,3,1,4,NA,1466666,2,NA,1,NA
2,2,1,2,35,31,3,2,4,1,896666,2,2,1,1
1,1,2,6,70,55,3,1,1,4,1100000,0,0,1,1
0,1,NA,5,26,NA,3,1,1,NA,1564166,2,NA,3,NA
0,1,NA,4,28,NA,3,1,1,NA,300000,2,NA,1,NA
2,2,1,2,41,52,3,1,4,1,500000,2,0,1,0
1,1,2,6,23,29,3,1,1,4,800000,2,2,1,1
2,2,NA,4,49,NA,3,1,2,NA,100000,0,NA,1,NA
4,2,NA,4,33,NA,3,1,1,NA,300000,0,NA,1,NA
0,1,NA,4,53,NA,3,1,1,NA,550000,2,NA,1,NA
0,1,NA,5,49,NA,3,1,1,NA,400000,0,NA,1,NA
3,2,NA,2,26,NA,3,1,4,NA,420000,0,NA,1,NA
1,1,2,2,54,52,3,2,1,4,1500000,2,0,1,1
0,2,NA,4,40,NA,3,2,4,NA,0,0,NA,1,NA
1,1,2,6,75,68,3,2,4,4,2250000,0,2,1,3
0,1,2,6,61,54,3,2,4,4,166666,2,2,1,1
1,1,2,6,83,75,3,2,5,5,125000,0,0,1,1
1,2,1,2,35,44,3,2,1,1,1500000,2,2,1,1
1,1,2,6,65,60,3,1,5,4,20833,0,0,1,1
0,1,NA,5,38,NA,3,1,1,NA,900000,0,NA,1,NA
0,2,NA,3,53,NA,3,1,1,NA,300000,0,NA,1,NA
0,2,NA,4,48,NA,3,1,2,NA,200000,0,NA,1,NA
0,2,NA,3,85,NA,3,2,4,NA,816911,0,NA,1,NA
1,2,NA,4,58,NA,3,2,1,NA,3300000,2,NA,3,NA
2,2,1,6,29,29,3,3,4,1,1050000,2,2,3,3
2,2,1,2,38,42,3,2,4,1,1700000,2,2,3,1
3,2,NA,4,48,NA,3,1,4,NA,150000,2,NA,1,NA
1,1,2,2,29,37,3,1,2,4,0,0,0,1,1
0,2,NA,3,63,NA,3,2,5,NA,300000,0,NA,1,NA
1,1,2,6,27,24,3,2,1,4,1700000,2,2,1,3
0,2,NA,3,80,NA,3,2,4,NA,166666,0,NA,1,NA
4,1,2,6,49,39,3,2,1,4,800000,0,2,1,1
0,2,NA,4,73,NA,3,3,4,NA,650000,0,NA,1,NA
0,1,NA,5,38,NA,3,1,1,NA,1600000,2,NA,1,NA
0,1,2,6,59,60,3,2,4,1,4900000,2,2,1,3
0,1,NA,2,28,NA,3,2,1,NA,950000,2,NA,1,NA
2,2,NA,3,36,NA,3,1,1,NA,1337666,2,NA,3,NA
3,2,1,6,41,52,3,2,1,1,1200000,2,0,2,1
1,2,NA,5,53,NA,3,2,4,NA,0,2,NA,1,NA
1,1,2,6,56,51,3,2,1,4,900000,0,2,1,1
0,1,2,2,62,54,3,2,1,4,828116,0,2,1,1
2,2,NA,4,40,NA,3,2,1,NA,1239782,0,NA,1,NA
1,2,NA,3,55,NA,3,2,4,NA,0,0,NA,1,NA
1,2,NA,5,33,NA,3,2,1,NA,473000,2,NA,1,NA
0,2,NA,5,50,NA,3,2,1,NA,828116,2,NA,1,NA
1,2,NA,3,76,NA,3,2,4,NA,100000,0,NA,1,NA
0,1,NA,5,40,NA,3,2,1,NA,4036333,2,NA,3,NA
0,1,2,6,89,68,3,3,5,4,3715190,0,1,1,1
1,2,NA,5,67,NA,3,3,4,NA,0,0,NA,1,NA
0,1,2,6,73,65,3,3,4,4,606666,0,2,1,1
1,2,NA,4,61,NA,3,3,6,NA,1300000,0,NA,1,NA
0,1,2,2,66,66,3,3,6,6,4000000,2,0,3,3
0,2,NA,5,49,NA,3,3,1,NA,200000,0,NA,1,NA
2,1,2,6,47,31,3,3,1,1,5361449,2,2,3,3
0,1,2,6,72,64,3,3,1,1,500000,0,0,1,1
1,2,NA,4,31,NA,3,2,1,NA,2780833,2,NA,3,NA
0,1,2,6,52,37,3,3,1,1,6540000,2,2,3,3
1,2,NA,4,85,NA,3,2,4,NA,0,0,NA,1,NA
1,1,2,2,43,35,3,3,1,4,2300000,2,2,3,3
0,1,NA,5,33,NA,3,3,1,NA,5000000,2,NA,3,NA
3,1,2,6,48,49,2,3,2,1,4000000,2,2,3,3
0,1,2,1,32,21,2,3,2,3,620000,2,2,3,3
2,2,1,1,38,48,2,3,4,1,99,0,0,1,1
0,2,1,6,66,80,2,3,6,6,1408333,0,0,1,1
1,2,NA,5,58,NA,2,3,4,NA,0,2,NA,1,NA
1,2,NA,3,96,NA,2,3,5,NA,1666666,0,NA,1,NA
0,2,NA,5,41,NA,2,3,1,NA,1550000,2,NA,3,NA
0,2,NA,5,18,NA,2,3,3,NA,395833,2,NA,3,NA
1,2,NA,5,37,NA,2,3,4,NA,250000,2,NA,1,NA
2,2,NA,5,36,NA,2,3,1,NA,2301407,2,NA,3,NA
0,2,NA,3,60,NA,2,2,4,NA,16666,0,NA,1,NA
0,2,NA,3,82,NA,2,2,4,NA,8333,0,NA,1,NA
0,1,NA,4,62,NA,2,2,1,NA,1300000,0,NA,1,NA
0,2,NA,5,54,NA,2,2,1,NA,600000,0,NA,1,NA
0,1,2,2,69,51,2,2,4,4,750000,0,0,1,1
0,1,2,2,61,59,2,2,1,4,500000,0,0,1,1
0,1,2,2,56,49,2,2,1,4,2400000,2,2,1,1
0,1,2,2,60,58,2,2,1,1,1335953,0,0,3,1
2,1,2,6,47,43,2,2,6,1,4800000,2,2,3,3
0,1,NA,4,63,NA,2,2,6,NA,0,2,NA,1,NA
0,1,NA,1,76,NA,2,2,1,NA,500000,0,NA,1,NA
1,1,2,2,29,26,2,2,1,4,1200000,0,0,1,1
0,2,NA,6,68,NA,2,2,4,NA,0,0,NA,1,NA
3,1,2,6,43,47,2,2,1,1,1128116,2,2,3,3
0,2,NA,4,58,NA,2,2,1,NA,115000,0,NA,1,NA
1,1,2,6,48,35,2,2,1,4,2725000,2,2,3,1
3,1,2,1,47,37,2,2,1,4,1865574,0,1,1,1
2,2,NA,4,42,NA,2,2,1,NA,300000,0,NA,1,NA
0,1,NA,5,42,NA,2,2,1,NA,300000,0,NA,1,NA
0,2,NA,4,62,NA,2,2,4,NA,33333,0,NA,1,NA
2,1,2,2,41,37,2,3,1,3,911449,2,2,3,3
1,2,NA,4,52,NA,2,3,1,NA,5042100,2,NA,3,NA
1,2,1,2,41,47,2,2,1,1,600000,0,0,1,1
2,1,2,6,36,36,2,2,2,2,140000,2,2,1,1
0,2,1,6,59,58,2,2,4,2,2176666,2,2,1,1
1,2,NA,5,41,NA,2,2,1,NA,300000,0,NA,1,NA
0,1,NA,3,85,NA,2,2,4,NA,8000000,0,NA,3,NA
0,2,1,1,60,48,2,2,1,1,1200000,0,0,0,0
1,1,2,2,27,24,2,2,1,4,800000,0,0,1,1
4,1,2,1,45,34,2,2,1,1,2400000,2,2,1,1
0,1,NA,5,34,NA,2,2,1,NA,550000,0,NA,1,NA
0,2,NA,3,88,NA,2,2,5,NA,33333,0,NA,0,NA
0,2,NA,4,63,NA,2,3,4,NA,1400000,2,NA,2,NA
0,1,2,2,59,48,2,3,1,1,3000098,2,2,3,2
0,1,2,2,50,49,2,3,1,1,3100000,2,2,3,1
2,1,2,2,46,36,2,3,1,4,2300000,2,2,3,3
1,1,2,6,78,81,2,3,4,5,1600000,0,0,1,1
0,1,2,2,23,22,2,2,1,1,2930000,2,2,3,3
3,2,NA,2,35,NA,2,3,4,NA,1500000,2,NA,3,NA
1,2,NA,5,27,NA,2,3,1,NA,3125000,2,NA,3,NA
1,2,NA,5,54,NA,2,1,4,NA,0,0,NA,1,NA
2,1,2,2,48,37,2,0,4,4,395833,2,2,1,1
0,1,2,6,64,59,2,0,1,4,336666,0,0,1,1
0,1,NA,4,56,NA,2,1,1,NA,816666,0,NA,1,NA
0,1,NA,4,72,NA,2,0,4,NA,4166,0,NA,1,NA
0,2,NA,4,81,NA,2,1,4,NA,0,0,NA,1,NA
1,1,2,6,79,77,2,1,4,4,10000,0,0,0,0
0,1,NA,4,52,NA,2,0,1,NA,1000000,0,NA,0,NA
0,2,NA,4,66,NA,2,2,4,NA,4166,0,NA,0,NA
2,1,2,2,55,31,2,2,1,4,700000,0,0,1,1
2,2,NA,4,46,NA,2,2,1,NA,750000,0,NA,0,NA
3,2,1,2,34,39,2,2,1,1,1620000,2,0,3,1
0,2,NA,3,65,NA,2,2,4,NA,25000,0,NA,1,NA
0,2,1,2,47,44,2,2,1,1,1300000,2,2,1,1
1,2,1,6,60,70,2,1,4,5,0,2,0,1,1
1,2,1,2,29,39,2,1,6,4,988000,2,2,3,1
0,2,1,6,45,45,2,1,1,1,400000,0,0,1,1
1,2,NA,4,58,NA,2,4,4,NA,25000,2,NA,1,NA
0,1,2,2,66,62,2,3,1,4,4166666,2,2,1,1
2,1,2,6,52,30,2,4,4,4,3800000,2,2,3,3
0,2,1,1,22,19,2,4,1,1,2105365,2,2,3,1
2,2,NA,4,30,NA,2,2,1,NA,1035116,2,NA,2,NA
0,1,2,6,57,53,2,2,1,4,900000,0,0,1,0
2,1,2,2,31,46,2,2,1,4,1261666,0,2,1,1
2,2,NA,4,48,NA,2,2,4,NA,200000,2,NA,1,NA
1,1,2,2,71,55,2,2,4,4,0,0,0,1,1
3,2,1,2,34,33,2,2,1,2,500000,2,2,1,1
0,2,1,2,24,34,2,2,1,1,2369522,2,2,3,3
1,1,2,6,63,64,2,2,1,4,400000,0,0,1,1
0,2,1,6,62,70,2,3,1,1,1950000,2,2,1,1
3,2,NA,4,32,NA,2,2,1,NA,600000,2,NA,3,NA
2,1,2,6,34,32,2,2,1,1,1280000,2,2,1,2
1,2,NA,4,50,NA,2,2,1,NA,550000,0,NA,1,NA
0,1,2,2,67,61,2,2,5,6,3068116,2,0,3,1
3,2,1,6,38,46,2,3,1,1,4115166,2,2,3,1
1,1,NA,3,74,NA,2,2,4,NA,1028116,2,NA,1,NA
1,1,NA,4,58,NA,2,2,1,NA,828116,2,NA,1,NA
1,2,NA,3,70,NA,2,2,4,NA,2800000,0,NA,1,NA
2,2,NA,4,44,NA,2,2,1,NA,250000,2,NA,1,NA
0,2,NA,4,44,NA,2,2,1,NA,1774833,2,NA,3,NA
1,2,NA,5,26,NA,2,1,1,NA,20833,2,NA,2,NA
1,1,2,2,61,52,2,1,1,4,1280000,0,2,1,1
