"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"N",59,48,3000098,"1","2","2","2","1","1","3","2","3","2","2"
"N",50,49,3100000,"1","2","2","2","1","1","3","1","3","2","2"
"T",46,36,2300000,"1","2","2","2","1","4","3","3","3","2","2"
"T",78,81,1600000,"1","2","6","2","4","5","1","1","3","0","0"
"N",23,22,2930000,"1","2","2","2","1","1","3","3","2","2","2"
"T",48,37,395833,"1","2","2","2","4","4","1","1","0","2","2"
"N",64,59,336666,"1","2","6","2","1","4","1","1","0","0","0"
"T",79,77,10000,"1","2","6","2","4","4","0","0","1","0","0"
"T",55,31,700000,"1","2","2","2","1","4","1","1","2","0","0"
"T",34,39,1620000,"2","1","2","2","1","1","3","1","2","2","0"
"N",47,44,1300000,"2","1","2","2","1","1","1","1","2","2","2"
"T",60,70,0,"2","1","6","2","4","5","1","1","1","2","0"
"T",29,39,988000,"2","1","2","2","6","4","3","1","1","2","2"
"N",45,45,400000,"2","1","6","2","1","1","1","1","1","0","0"
"N",66,62,4166666,"1","2","2","2","1","4","1","1","3","2","2"
"T",52,30,3800000,"1","2","6","2","4","4","3","3","4","2","2"
"N",22,19,2105365,"2","1","1","2","1","1","3","1","4","2","2"
"N",57,53,900000,"1","2","6","2","1","4","1","0","2","0","0"
"T",31,46,1261666,"1","2","2","2","1","4","1","1","2","0","2"
"T",71,55,0,"1","2","2","2","4","4","1","1","2","0","0"
"T",34,33,500000,"2","1","2","2","1","2","1","1","2","2","2"
"N",24,34,2369522,"2","1","2","2","1","1","3","3","2","2","2"
"T",63,64,400000,"1","2","6","2","1","4","1","1","2","0","0"
"N",62,70,1950000,"2","1","6","2","1","1","1","1","3","2","2"
"T",34,32,1280000,"1","2","6","2","1","1","1","2","2","2","2"
"N",67,61,3068116,"1","2","2","2","5","6","3","1","2","2","0"
"T",38,46,4115166,"2","1","6","2","1","1","3","1","3","2","2"
"T",61,52,1280000,"1","2","2","2","1","4","1","1","1","0","2"
"N",64,59,700000,"1","2","6","2","1","1","2","1","1","0","0"
"N",73,73,129166,"1","2","6","2","4","4","0","0","1","0","0"
"T",38,39,700000,"2","1","2","2","4","1","1","1","2","2","0"
"T",38,36,1428666,"1","2","2","2","1","1","1","1","2","2","0"
"T",23,39,900000,"2","1","2","2","4","1","1","1","1","2","2"
"T",29,43,1200000,"2","1","2","2","1","1","1","1","1","2","2"
"T",40,41,1208116,"2","1","2","2","4","1","1","1","2","2","2"
"T",49,31,440000,"1","2","6","2","4","4","1","1","2","0","1"
"T",48,45,2050000,"1","2","6","2","1","6","1","1","2","2","2"
"T",38,40,1759652,"2","1","2","2","1","1","1","1","2","2","0"
"T",59,54,1083333,"1","2","6","2","1","4","1","3","3","2","2"
"T",54,40,1800008,"1","2","6","2","1","4","1","1","3","0","2"
"N",32,29,2366666,"1","2","6","2","1","1","3","3","2","2","2"
"N",56,64,1228116,"1","2","6","2","1","4","1","1","3","0","0"
"N",51,41,2472032,"2","1","1","2","1","1","3","1","3","2","2"
"T",45,39,1400000,"1","2","2","2","1","1","1","3","3","0","2"
"T",26,39,4100000,"1","2","1","2","1","6","3","3","3","2","2"
"T",56,58,200000,"1","2","6","2","1","4","1","1","3","0","0"
"N",63,65,300000,"2","1","6","2","1","2","1","1","2","0","0"
"T",42,48,1125000,"2","1","6","2","4","1","1","1","2","2","2"
"T",84,86,0,"1","2","6","2","5","4","0","1","2","0","0"
"N",57,49,580000,"1","2","6","2","1","4","1","1","2","0","0"
"T",30,33,935250,"2","1","6","2","4","1","3","1","2","2","2"
"N",62,47,5500000,"1","2","6","2","1","1","1","1","2","2","2"
"T",48,47,720000,"2","1","2","2","4","1","1","1","2","2","2"
"N",70,63,800000,"1","2","6","2","6","4","0","1","2","0","0"
"N",46,49,925148,"2","1","6","2","4","1","1","3","2","0","2"
"T",44,52,1070329,"2","1","2","2","4","1","1","1","2","0","0"
"T",24,22,0,"1","2","2","2","2","4","1","1","2","0","0"
"T",70,61,600000,"1","2","2","2","1","4","1","1","2","0","0"
"N",63,59,1040000,"1","2","6","2","4","5","1","1","2","0","0"
"T",48,43,930000,"1","2","6","2","2","1","2","1","2","0","0"
"T",50,43,2383333,"1","2","6","2","6","4","1","1","3","2","2"
"T",40,38,3095000,"1","2","6","2","1","1","1","1","2","2","2"
"T",39,49,480000,"2","1","2","2","4","1","1","1","2","0","0"
"T",32,31,900000,"2","1","2","2","4","1","1","1","2","2","2"
"T",27,26,1310395,"1","2","2","2","1","4","1","1","2","2","2"
"T",63,55,1008511,"2","1","2","2","4","1","1","1","2","0","0"
"T",49,44,880000,"1","2","6","2","4","6","1","3","2","0","2"
"N",28,32,2624933,"2","1","6","2","1","1","3","3","2","2","2"
"T",68,63,737717,"1","2","6","2","4","4","1","1","2","2","2"
"T",63,61,828116,"1","2","6","2","1","4","3","1","2","2","2"
"T",54,48,980000,"1","2","6","2","2","1","1","1","2","2","2"
"T",30,30,23666666,"1","2","2","7","6","4","2","3","6","2","2"
"T",70,62,2708333,"1","2","1","7","4","4","1","1","5","2","2"
"N",68,63,808166,"1","2","6","7","4","4","1","1","5","0","0"
"T",43,42,3625303,"1","2","2","7","1","1","3","3","4","2","2"
"T",56,56,5125000,"1","2","6","7","1","1","3","3","5","2","2"
"N",69,59,6375000,"1","2","2","7","1","4","3","3","4","2","2"
"T",41,37,6458332,"1","2","6","7","1","1","3","3","6","2","2"
"N",80,77,4125097,"1","2","6","7","1","1","1","1","5","0","2"
"T",39,38,8323431,"1","2","2","7","1","1","3","3","5","2","2"
"T",59,58,5625000,"1","2","6","7","1","4","3","3","5","2","2"
"T",75,64,3000000,"1","2","6","7","4","4","3","1","4","2","2"
"N",66,77,16,"2","1","6","7","4","5","2","2","5","2","0"
"N",62,64,19499999,"1","2","6","7","6","6","3","3","6","2","2"
"N",36,33,6000000,"1","2","6","7","1","3","3","3","6","2","2"
"N",45,48,43000000,"1","2","6","7","1","1","3","3","6","2","2"
"T",50,52,6300000,"2","1","6","7","1","1","3","3","5","2","2"
"N",57,66,18456666,"2","1","6","7","1","1","3","3","5","2","2"
"T",57,54,2228116,"1","2","6","7","1","1","1","1","1","0","0"
"T",54,50,1268833,"1","2","6","7","1","4","1","1","2","2","0"
"T",49,50,700000,"1","2","6","7","1","4","1","1","2","0","2"
"T",33,32,1550000,"1","2","6","7","1","1","2","3","2","2","2"
"T",56,50,1000000,"1","2","6","7","6","4","1","3","4","2","2"
"T",48,46,1002243,"1","2","2","7","1","4","1","2","3","2","2"
"T",59,54,558333,"1","2","6","7","2","4","1","1","2","0","2"
"T",34,28,2811666,"1","2","2","7","1","4","3","1","3","2","2"
"T",46,46,4017000,"1","2","6","7","1","1","3","3","3","2","2"
"T",54,48,1767032,"1","2","2","7","1","1","1","3","1","0","2"
"T",48,35,1000000,"1","2","2","7","1","4","1","0","1","2","2"
"N",69,64,2553357,"1","2","2","7","1","4","1","1","1","2","2"
"N",71,54,1800000,"1","2","6","7","6","4","3","3","3","2","2"
"N",71,67,5433333,"1","2","6","7","1","4","1","1","3","0","2"
"T",41,37,800000,"1","2","1","7","1","1","1","1","2","2","2"
"T",47,40,2341666,"1","2","6","7","1","4","1","1","1","2","2"
"T",49,47,1140000,"1","2","2","7","1","4","0","1","1","0","1"
"N",32,46,1164481,"1","2","2","7","1","4","1","1","1","2","2"
"T",39,39,2996332,"1","2","1","7","1","1","1","3","3","2","2"
"T",28,27,994157,"1","2","2","7","1","4","1","1","1","2","2"
"T",47,50,969008,"1","2","2","7","1","4","1","1","1","0","0"
"T",54,49,1399000,"1","2","2","7","1","4","1","1","1","1","2"
"T",72,62,1166666,"1","2","2","7","4","4","1","3","2","0","0"
