"Hijos","Edad.Jefe","Ingresos.totales","Sexo.Jefe","Region","Trabajo.Jefe","Edu.Jefe","Uso.tecnologia.Jefe","Estrato.vivienda","Tipo.Union"
"N",59,100000,"2","3","4","1","0","2","4"
"N",72,828116,"2","3","4","1","0","2","4"
"T",63,4166,"2","3","4","1","2","2","3"
"N",24,1197032,"2","3","1","3","2","2","6"
"N",21,650000,"1","3","3","3","2","5","5"
"T",78,1083333,"2","3","4","1","2","3","5"
"T",44,9833333,"2","3","1","3","2","4","6"
"T",52,2825000,"2","3","1","2","2","3","5"
"T",33,627343,"2","3","3","3","2","3","4"
"T",75,0,"2","3","4","1","0","2","4"
"N",56,0,"2","3","4","0","0","2","4"
"N",91,7000000,"2","3","6","1","0","4","3"
"T",69,1666666,"2","3","4","1","0","4","3"
"N",38,1294314,"1","3","1","1","2","3","5"
"N",27,0,"1","3","2","3","2","4","5"
"N",78,1628116,"2","3","4","1","0","4","3"
"N",59,83333,"2","3","4","1","0","5","4"
"N",78,3633333,"2","3","6","1","0","5","3"
"T",42,1083333,"2","6","4","1","2","3","3"
"N",79,1128000,"2","6","4","1","0","2","3"
"N",40,1816666,"1","6","1","3","2","3","5"
"T",63,0,"2","6","4","1","0","2","3"
"T",42,0,"2","6","4","1","2","3","6"
"T",36,0,"2","6","4","1","2","2","5"
"N",37,700000,"2","6","1","2","2","3","5"
"T",44,3350500,"1","6","1","3","2","1","4"
"N",55,1059616,"2","6","1","1","0","1","4"
"N",50,1424666,"1","6","1","1","0","1","5"
"T",55,300000,"2","6","1","1","0","1","5"
"N",63,1750000,"1","6","6","1","0","1","5"
"N",37,1200000,"1","6","1","1","0","1","5"
"N",71,435000,"2","6","4","0","0","1","5"
"T",56,0,"2","6","1","1","0","1","4"
"T",37,400000,"2","6","1","1","0","1","5"
"N",67,2000000,"1","6","4","1","0","3","5"
"T",51,300000,"2","6","1","1","0","3","4"
"T",46,1546516,"2","6","1","3","2","3","5"
"N",31,2500000,"2","9","1","3","2","2","5"
"T",56,600000,"1","9","1","3","2","2","5"
"N",54,700000,"2","9","1","1","0","2","5"
"N",42,0,"1","9","2","3","2","2","4"
"T",49,857000,"2","9","1","1","2","1","4"
"T",43,680000,"2","9","1","1","0","1","4"
"T",25,500000,"2","9","1","3","2","1","4"
"N",78,1383333,"2","9","4","1","0","2","3"
"T",32,828126,"2","9","1","3","2","2","4"
"T",27,950000,"2","9","1","3","2","1","4"
"T",68,0,"1","9","5","1","0","2","4"
"T",59,125000,"2","9","4","1","2","1","5"
"N",54,16666,"2","9","4","1","0","2","4"
"T",27,150000,"2","9","1","1","0","1","4"
"T",32,850000,"2","9","1","3","2","1","4"
"T",52,487500,"2","9","1","0","2","1","4"
"N",57,16666,"2","9","4","1","0","0","3"
"N",78,600000,"1","9","1","1","0","1","4"
"T",29,0,"2","9","4","1","0","0","5"
"T",41,350000,"2","9","4","1","0","1","4"
"N",66,25000,"1","9","5","1","0","0","5"
"N",46,25000,"2","9","4","1","0","1","4"
"N",72,0,"1","9","6","0","0","1","2"
"T",28,179166,"2","9","4","1","0","1","4"
"N",66,0,"2","9","4","1","0","1","3"
"N",84,0,"2","9","4","1","0","1","3"
"N",82,758333,"2","9","5","0","0","2","3"
"N",74,2500,"1","9","4","1","0","1","3"
"T",67,0,"1","9","4","1","0","3","4"
"T",58,486000,"2","9","1","1","0","1","4"
"T",53,2666666,"1","9","1","1","2","1","3"
"T",61,80000,"2","9","4","1","0","2","4"
"N",58,600000,"1","9","4","1","1","1","5"
"N",40,250000,"1","9","1","1","0","1","5"
"N",45,4433333,"2","9","1","3","2","1","5"
"N",52,600000,"2","9","1","1","0","1","4"
"N",57,1100000,"1","9","1","1","0","1","5"
"N",79,33333,"2","9","4","1","0","1","3"
"N",59,500000,"1","9","1","1","0","1","5"
"N",20,0,"1","9","3","3","2","1","5"
"T",44,300000,"2","9","1","1","0","1","4"
"T",59,0,"1","9","4","1","0","1","4"
"N",52,11000000,"2","9","1","1","0","1","5"
"N",61,1000000,"2","9","1","1","2","1","4"
"T",64,1090000,"2","9","4","1","0","1","3"
"N",55,200000,"2","9","1","1","0","1","2"
"N",33,5091666,"2","9","1","3","2","1","5"
"N",66,0,"2","9","4","0","0","1","6"
"T",20,150000,"2","9","1","1","0","1","5"
"T",38,0,"2","9","3","1","0","1","4"
"T",52,816000,"2","9","4","1","0","1","4"
