Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7164581-1;1;2;4;44;2;3;1;1;500000;0;1;1;2;1;50000;0
7164582-1;1;1;3;77;2;2;2;1;950000;0;1;1;3;2;140000;0
7164583-1;0;1;4;48;2;1;2;1;900000;2;1;1;2;1;80000;0
7164584-1;0;1;2;58;2;1;2;1;1350000;2;1;1;1;1;22900;1
7164587-1;0;2;3;75;2;1;2;4;365000;0;1;1;3;1;36000;1
7164592-1;0;1;5;36;2;1;2;1;1128116;2;1;1;2;1;100000;2
7164593-1;0;1;5;22;2;1;2;3;1200000;2;3;1;4;1;20000;0
7164596-1;0;1;4;59;2;2;2;4;360000;0;1;1;3;2;20000;0
7164597-1;3;2;5;33;2;4;2;5;778333;0;2;1;4;2;6800;0
7164600-1;0;1;6;64;2;1;2;1;2416666;2;3;1;2;1;7000;0
7164603-1;1;2;4;33;2;2;3;1;750000;2;3;1;3;2;45000;2
7164605-1;1;2;3;42;2;2;5;1;4900000;2;3;1;4;3;90000;2
7164606-1;2;2;4;37;2;4;3;6;1780412;2;3;1;4;3;53000;2
7164607-1;2;2;3;68;2;3;3;1;13004500;2;3;1;4;3;66000;1
7164609-1;0;1;5;26;2;1;3;3;2033333;2;3;1;3;1;150000;2
7164611-1;2;2;2;35;2;4;2;4;1330000;2;1;1;3;2;29000;1
7164616-1;0;2;4;54;2;1;3;1;982616;0;1;1;4;1;13000;0
7164618-1;0;2;5;57;2;1;2;1;1214090;0;3;1;4;1;68000;0
7164620-1;3;2;4;38;2;5;3;1;4850000;2;1;1;4;3;35000;0
7164622-1;0;2;4;30;2;1;1;2;216666;2;1;1;3;1;0;0
7164623-1;1;2;4;34;2;2;1;1;900000;2;3;1;4;2;58000;0
7164625-1;0;1;4;57;2;1;1;1;180000;2;0;1;4;1;38000;1
7164627-1;1;2;4;53;2;2;1;4;100000;0;1;1;5;2;45000;0
7164628-1;1;2;4;57;2;5;1;1;1300000;0;1;1;3;2;52000;0
7164629-1;3;2;4;30;2;4;1;1;1695000;2;1;1;4;3;32000;0
7164630-1;0;2;4;48;2;1;1;2;580000;0;1;1;3;1;17000;1
7164631-1;1;2;4;52;2;6;3;4;2446666;2;1;1;4;3;85000;2
7164632-1;1;2;4;54;2;3;3;1;1450000;2;1;1;4;3;78700;2
7164633-1;0;2;4;54;2;1;3;5;383333;0;1;1;4;1;34000;0
7164637-1;0;1;5;49;2;1;2;1;2500000;2;1;2;2;1;64000;3
7164638-1;1;2;4;37;2;2;1;1;1040000;2;1;1;3;2;10000;0
7164639-1;0;1;2;32;2;1;1;1;1350000;2;1;1;3;1;18000;2
7164641-1;1;1;3;44;2;2;1;1;1430000;2;1;1;3;2;8000;1
7164642-1;3;2;4;49;2;4;1;4;1353333;2;1;1;3;2;51000;3
7164643-1;0;1;4;64;2;1;1;1;400000;0;1;1;3;1;10000;0
7164644-1;0;1;5;42;2;2;1;2;241666;2;1;1;3;2;12000;0
7164646-1;1;2;4;25;2;3;1;2;660000;2;3;1;3;2;21000;0
7164647-1;0;2;4;54;2;1;1;1;1480116;2;1;1;3;1;21000;1
7164649-1;0;2;6;51;2;1;2;4;1158333;2;1;1;4;1;30000;2
7164656-1;0;2;3;71;2;1;2;1;1300000;2;1;1;3;1;31000;2
7164657-1;0;2;3;82;2;1;1;6;440000;0;0;1;4;1;28000;0
7164662-1;0;2;3;69;2;1;2;4;266000;0;0;1;2;1;0;0
7164662-2;0;1;4;56;2;1;2;1;750000;0;2;1;1;1;15000;0
7164665-1;1;1;4;33;2;2;2;1;875000;0;1;1;2;1;15000;0
7164666-1;0;2;4;24;2;1;1;1;1097000;2;3;1;2;1;9000;0
7164667-1;1;2;4;39;2;2;2;1;258333;2;1;1;4;2;30000;1
7164668-1;3;2;4;32;2;4;1;1;880000;0;1;1;2;1;15000;2
7164670-1;0;2;4;54;2;1;1;1;995949;2;1;1;2;1;17000;0
7164672-1;0;1;4;36;2;1;2;1;1491666;2;1;1;1;1;0;0
7164673-1;0;1;5;21;2;1;2;1;2400000;2;1;2;2;1;0;0
7164675-1;0;2;4;59;2;1;1;4;712500;0;1;1;3;1;23000;0
7164677-1;2;2;4;45;2;5;2;4;880000;2;1;1;4;3;57000;2
7164678-1;2;1;4;43;2;3;2;1;979000;2;1;1;3;1;22000;2
7164679-1;0;2;5;61;2;1;1;4;250000;0;1;1;3;1;12500;1
7164681-1;0;2;4;57;2;2;1;1;802000;2;1;1;3;2;14500;0
7164686-1;1;2;3;82;2;2;1;4;800000;0;1;1;4;2;19000;0
7164687-1;2;2;4;35;2;3;1;1;1612000;2;3;1;4;3;26000;2
7164688-1;0;2;2;52;2;1;1;1;200000;2;1;1;2;1;2800;0
7164691-1;0;1;5;19;2;1;2;1;1226000;2;1;1;2;1;0;1
7164693-1;0;1;4;77;2;3;3;1;956666;0;1;1;5;3;0;0
7164695-1;0;1;5;24;2;1;2;1;2100000;2;1;1;3;1;0;2
7164698-1;1;2;3;60;2;5;2;4;900000;2;1;1;4;3;45000;2
7164699-1;0;2;2;48;2;1;2;1;725000;0;1;1;3;1;35000;0
7164704-1;0;1;5;76;2;1;2;1;400000;2;3;1;4;1;30000;2
7164707-1;0;2;5;57;2;1;3;4;450000;0;1;1;4;2;60000;0
7164708-1;0;2;4;73;2;1;2;4;400000;0;0;1;2;1;17333;0
7164712-1;0;1;3;69;2;2;3;2;1200000;2;1;1;4;2;89000;2
7164713-1;0;1;6;67;2;1;4;1;11450000;2;3;1;1;1;0;1
7164714-1;0;2;5;62;2;2;3;6;4130000;0;1;1;4;2;60000;1
7164715-1;1;1;3;79;2;5;1;6;1949148;0;1;1;4;3;50000;2
7164715-3;1;2;2;22;2;2;1;2;875000;2;1;1;2;1;0;0
7164718-1;2;2;3;80;2;5;2;4;6347032;0;1;1;6;3;120000;2
7164719-1;2;2;5;63;2;3;3;4;2751346;0;1;1;3;2;56000;1
7164721-1;3;1;4;44;2;4;3;1;1000000;2;1;1;3;2;30000;2
7164722-1;1;2;4;56;2;3;3;1;3496161;2;1;1;3;2;50000;2
7164724-1;0;2;4;55;2;2;3;6;1527032;1;1;1;4;2;25000;1
7164728-1;2;2;4;49;2;3;1;2;710000;2;1;1;3;2;40000;0
7164729-1;2;2;4;44;2;3;1;1;1250000;2;1;1;5;3;46000;2
7164730-1;2;2;4;31;2;3;1;4;1301198;2;1;1;4;3;20000;2
7164734-1;1;1;4;47;2;2;1;1;1678116;2;1;1;3;2;30000;2
7164735-1;0;2;5;66;2;1;2;4;1228116;0;1;1;3;1;31500;0
7164736-1;2;2;6;34;2;3;2;4;1375000;2;1;1;4;3;44500;2
7164740-1;0;1;5;29;2;1;3;1;1033116;2;1;1;2;1;40000;0
7164741-1;3;2;4;41;2;6;3;2;999125;2;2;2;4;3;40000;2
7164743-1;2;2;2;38;2;3;1;4;975000;1;1;1;4;3;65000;2
7164744-1;1;2;4;61;2;4;3;1;1800000;0;1;1;4;3;47000;1
7164745-1;0;2;4;55;2;1;3;1;850000;0;1;1;3;1;5000;0
7164747-1;0;2;4;74;2;1;3;4;725000;0;1;1;2;1;24000;0
7164751-1;0;1;5;30;2;4;3;2;3898333;2;3;2;4;3;80000;2
7164753-1;1;2;3;82;2;2;3;5;2166666;0;1;1;3;2;120000;2
7164757-1;1;2;5;74;2;2;1;4;970000;0;1;1;3;2;30000;0
7164758-1;0;2;2;27;2;1;2;1;1397200;2;3;1;3;1;7500;0
7164759-1;2;2;4;40;2;3;1;1;1239249;2;1;1;3;2;32513;0
7164760-1;1;2;6;52;2;2;2;4;778333;2;1;1;3;2;26000;2
7164761-1;0;2;5;26;2;1;1;1;1311166;2;3;1;4;1;19000;0
7164762-1;3;2;2;29;2;3;2;4;72500;0;1;1;3;2;23000;0
7164764-1;1;2;6;47;2;2;2;4;241666;0;1;1;3;1;14800;1
7164765-1;0;2;3;82;2;1;2;5;545000;0;1;1;4;1;10281;0
7164766-1;0;1;4;66;2;1;2;1;245000;0;1;1;3;1;5000;0
7164767-1;0;2;3;65;2;1;2;1;245000;0;1;1;2;1;18000;1
7164768-1;0;1;5;24;2;1;2;1;650000;2;1;1;3;1;45000;0
7164780-1;1;1;4;52;2;4;2;1;1245000;0;1;1;3;2;16000;0
7164785-1;0;1;5;63;2;1;1;1;600000;0;0;1;3;1;23000;0
7164787-1;2;2;1;36;2;3;1;1;575000;0;1;1;3;2;12000;0
7164789-1;2;2;4;50;2;3;1;4;800000;0;1;1;3;2;25000;0
7164790-1;0;1;5;44;2;1;1;1;800000;0;1;1;3;1;15000;0
7164803-1;2;2;4;23;2;3;1;1;660000;0;1;1;1;1;27100;0
7164809-1;1;2;3;56;2;2;1;4;908333;0;0;1;3;2;22000;2
7164817-1;0;2;3;90;2;1;1;4;200000;0;0;2;2;1;3000;0
7164822-1;1;2;3;71;2;5;1;4;351666;0;0;1;4;3;13333;2
7164829-1;0;1;4;76;2;1;1;1;741666;0;1;1;2;1;11000;0
7164833-1;3;1;4;34;2;4;1;1;640000;0;1;1;2;1;28666;0
7164838-1;0;1;4;56;2;1;2;1;1600000;2;1;1;3;1;20000;2
7164839-1;0;2;5;54;2;1;2;4;225000;2;1;1;4;1;24991;1
7164840-1;0;2;4;68;2;1;2;4;95000;0;1;1;2;1;10000;0
7164842-1;1;2;4;69;2;2;2;4;2900000;2;3;1;7;2;30200;2
7164845-1;1;2;4;64;2;4;2;4;935000;2;1;1;5;3;15000;0
7164850-1;0;1;4;49;2;2;2;1;1827918;0;1;1;3;2;22580;0
7164853-1;0;1;5;19;2;2;2;1;550000;2;1;1;4;2;15000;0
7164856-1;1;2;3;68;2;2;3;4;500000;0;1;1;5;2;57000;2
7164858-1;1;2;3;87;2;3;3;4;20000000;0;1;1;3;2;85000;2
7164861-1;0;2;3;74;2;1;3;4;601666;0;1;1;4;1;10000;0
7164864-1;4;2;4;81;2;5;3;4;2556666;0;1;1;3;2;80000;2
7164865-1;0;2;5;61;2;3;3;4;1585616;2;1;1;6;3;72000;2
7164869-1;2;2;4;54;2;3;1;4;650000;0;1;1;4;2;40000;0
7164884-1;0;2;4;63;2;1;3;1;700000;2;1;1;3;1;22000;0
7164888-1;3;2;4;46;2;3;3;1;500000;2;1;1;3;2;25000;2
7164890-1;1;2;3;79;2;2;3;1;941666;0;1;1;4;2;75000;3
7164891-1;1;2;4;35;2;2;3;1;1001949;2;1;1;3;2;63000;2
7164892-1;2;2;3;81;2;4;3;4;6483333;0;1;1;7;3;78000;0
7164893-1;1;2;3;71;2;3;3;4;14821709;0;1;1;5;3;51000;2
7164894-1;1;2;4;60;2;3;3;1;7583333;2;3;1;4;3;70000;1
7164896-1;0;2;5;72;2;1;3;4;485000;0;1;1;2;1;38000;0
7164897-1;0;2;5;71;2;1;3;4;1123116;0;1;1;3;1;41000;0
7164902-1;0;2;4;57;2;1;1;4;550000;2;1;1;3;1;17000;1
7164905-1;0;1;5;41;2;1;1;1;1216666;0;1;1;3;1;20000;0
7164906-1;0;2;3;65;2;1;1;6;1800000;2;1;1;2;1;12000;0
7164908-1;0;2;5;19;2;2;1;1;1400000;2;1;1;2;2;15000;0
7164911-1;2;2;4;46;2;3;1;1;1851666;0;1;1;3;2;100000;0
7164916-1;1;2;4;69;2;5;1;1;1161666;0;1;1;4;3;140000;0
7164917-1;2;2;3;57;2;5;3;1;3931000;2;1;1;5;3;90000;2
7164919-1;3;2;2;33;2;4;5;1;2663575;2;3;1;4;3;300000;2
7164921-1;1;2;5;44;2;2;5;1;9500000;2;3;1;4;2;140000;2
7164922-1;2;2;4;67;2;4;4;4;4687500;2;1;1;6;4;180000;2
7164923-1;4;2;3;51;2;7;1;4;1322500;0;1;1;4;3;80000;0
7164924-1;2;1;3;68;2;3;2;4;2686416;2;3;1;4;3;40000;2
7164933-1;1;2;6;43;2;2;1;1;730000;2;1;1;3;1;98000;0
7164935-1;1;2;4;34;2;2;2;1;1137500;2;1;1;1;1;100000;0
7164939-1;0;1;3;78;2;1;2;1;1345833;0;0;1;2;1;0;0
7164941-1;1;2;3;59;2;2;2;4;1000000;0;1;1;3;2;50000;1
7164951-1;0;1;4;61;2;1;2;2;200000;0;1;2;1;1;20000;0
7164953-1;0;1;4;51;2;3;1;2;710000;0;1;2;3;2;28000;0
7164956-1;2;2;6;22;2;2;1;4;800000;2;1;1;2;1;40000;0
7164961-1;3;2;5;52;2;9;1;1;2900000;2;1;1;6;5;280000;2
7164962-1;0;2;5;43;2;1;1;1;850000;2;1;2;2;1;45000;0
7164965-1;0;1;4;65;2;1;1;1;500000;2;1;1;1;1;20000;0
7164967-1;0;2;4;57;2;1;1;4;340000;0;1;1;2;1;30000;0
7164970-1;3;2;4;58;2;4;1;1;1970000;0;1;1;4;3;23000;0
7164970-2;0;1;4;60;2;1;1;2;166666;0;1;2;1;1;0;0
7164971-1;2;2;6;36;2;3;1;1;641500;2;1;1;3;2;60000;0
7164972-1;1;2;6;53;2;2;2;4;900000;0;1;1;3;2;55000;0
7164974-1;4;1;4;45;2;5;1;1;300000;2;1;1;3;2;100000;0
7164977-1;0;2;4;68;2;1;1;4;1416666;2;1;1;2;1;0;2
7164980-1;1;2;4;55;2;3;1;4;1133333;2;1;1;4;3;60000;0
7164982-1;0;2;5;47;2;1;1;1;950000;0;1;1;3;1;31000;0
7164983-1;4;2;3;68;2;10;1;4;2053333;0;0;1;4;3;51400;0
7164986-1;1;2;3;58;2;5;1;1;2505000;0;0;1;4;3;90000;0
7164988-1;0;1;5;24;2;2;4;2;1300000;2;3;1;5;2;130000;2
7164990-1;2;2;3;74;2;5;4;4;1666666;0;1;1;5;3;103000;2
7164994-1;0;2;4;58;2;1;4;4;1200000;0;1;1;3;1;100000;1
7164997-1;0;2;4;77;2;1;1;4;205000;0;0;1;1;1;11000;0
7165001-1;2;2;3;87;2;3;3;4;5800000;0;1;1;4;3;93477;1
7165002-1;0;1;5;24;2;1;1;1;1600000;0;1;1;3;1;40000;0
7165003-1;1;2;5;33;2;2;1;1;960000;2;1;1;4;2;41000;1
7165015-1;0;1;4;41;2;1;1;1;450000;0;1;1;3;1;6000;0
7165016-1;0;1;5;38;2;2;1;1;450000;2;1;1;2;1;12000;0
7165017-1;0;1;5;36;2;1;0;1;300000;0;0;1;3;1;0;0
7165018-1;0;1;5;62;2;1;1;1;900000;0;0;1;2;1;10000;0
7165019-1;1;2;4;55;2;3;1;4;387500;0;0;1;3;2;11000;0
7165023-1;0;1;4;69;2;1;2;1;665000;0;0;1;3;2;30000;1
7165025-1;0;2;5;25;2;1;2;1;440000;2;3;1;3;1;16666;3
7165027-1;5;2;4;33;2;6;1;1;845000;0;1;1;2;1;0;0
7165029-1;1;2;4;60;2;2;2;4;350000;0;0;1;2;1;30000;0
7165030-1;2;2;4;67;2;3;1;4;321666;0;1;1;3;2;15000;0
7165031-1;0;1;4;34;2;1;1;1;700000;0;1;1;2;1;0;0
7165033-1;0;1;5;33;2;4;1;1;2250000;0;1;1;4;3;37000;0
7165042-1;1;2;4;20;2;2;2;4;300000;0;1;1;3;1;8000;0
7165043-1;3;2;3;60;2;5;1;1;689000;0;1;1;5;2;20000;0
7165046-1;2;1;3;80;2;3;1;1;1600000;0;1;1;2;2;10000;0
7165047-1;1;2;3;67;2;2;1;4;815000;0;1;1;3;2;35000;2
7165048-1;1;2;3;73;2;3;1;4;617500;0;0;1;3;2;28666;0
7165050-1;1;1;3;93;2;3;1;4;662500;0;0;1;4;3;10000;0
7165056-1;2;2;4;47;2;3;2;1;400000;0;1;1;2;1;25000;2
7165070-1;1;2;4;53;2;2;2;4;530000;0;0;1;3;2;14700;0
7165076-1;1;2;3;84;2;3;1;4;220416;0;0;1;3;3;25000;0
7165078-1;1;2;3;74;2;2;2;4;600000;0;0;1;4;2;14520;1
7165083-1;0;2;3;86;2;1;1;4;182500;0;0;1;2;1;30000;0
7165088-1;0;2;4;56;2;1;1;1;1553083;2;3;1;4;1;21600;2
7165091-1;3;2;3;60;7;6;2;1;5781820;2;1;1;4;3;55000;2
7165094-1;2;2;4;58;7;7;1;1;2276250;2;1;1;5;4;0;3
7165101-1;0;1;4;63;7;1;2;4;316666;0;1;1;2;1;19000;0
7165103-1;3;1;6;46;7;4;2;1;1946666;2;1;1;4;4;38000;2
7165104-1;1;2;4;63;7;2;2;4;1050000;2;1;1;3;1;90000;2
7165111-1;1;2;3;86;7;2;4;5;3074166;0;1;1;6;2;130000;2
7165112-1;0;1;5;62;7;2;2;4;2000000;2;1;1;3;2;30000;0
7165114-1;0;1;5;21;7;3;2;1;938500;2;1;1;3;2;0;2
7165115-1;1;2;4;29;7;2;2;4;450000;2;3;2;3;2;19000;0
7165116-1;0;2;3;70;7;1;1;1;300000;0;1;1;3;1;20000;0
7165117-1;2;2;3;53;7;5;1;4;1515000;0;1;1;3;2;20000;1
7165123-1;2;2;5;50;7;4;1;4;2158236;2;1;1;4;3;141000;0
7165126-1;0;1;4;70;7;1;1;1;300000;0;1;1;2;1;10528;0
7165130-1;2;2;4;46;7;3;1;1;2120000;2;3;1;4;3;40000;1
7165132-1;1;2;5;64;7;2;1;1;1122620;0;1;1;2;2;25000;0
7165134-1;1;1;4;48;7;3;1;1;1950000;0;0;1;4;3;15000;0
7165136-1;2;2;4;33;7;3;1;1;1233860;2;1;1;5;2;60000;0
7165139-1;0;2;3;82;7;1;6;4;3933333;2;3;1;3;1;150000;2
7165154-1;1;2;4;25;7;2;0;3;666666;2;3;1;2;1;0;0
7165157-1;0;1;5;50;7;1;1;1;1200000;0;1;1;1;1;16000;0
7165160-1;2;2;4;52;7;3;1;1;2825000;2;1;1;3;2;98000;2
7165163-1;2;2;4;29;7;3;0;2;135000;1;2;2;2;1;0;0
7165170-1;2;2;4;59;7;4;1;4;815000;2;1;1;5;4;40000;0
7165172-1;2;2;2;19;7;3;1;4;516666;0;1;1;3;2;40000;0
7165173-1;2;2;4;36;7;3;1;1;1339000;2;1;1;3;3;75000;0
7165174-1;2;2;4;50;7;3;1;1;800000;0;1;1;5;3;20000;0
7165175-1;3;2;4;28;7;5;1;4;786666;2;1;1;6;3;52000;0
7165176-1;0;1;5;25;7;2;1;1;978116;2;1;1;5;2;55000;3
7165177-1;0;1;2;27;7;2;1;1;1445000;0;1;1;5;2;40000;0
7165178-1;0;2;3;60;7;2;1;4;317500;0;1;1;4;2;37000;0
7165179-1;3;2;4;47;7;5;1;4;726666;1;1;1;4;3;35000;0
7165181-1;0;1;2;26;7;1;1;1;600000;1;1;1;3;1;57000;1
7165182-1;0;2;4;38;7;1;1;1;1000000;0;1;1;3;1;60000;0
7165183-1;1;1;4;57;7;2;1;1;2028116;2;1;1;3;2;35000;0
7165184-1;1;1;5;31;7;2;3;1;3000000;2;3;1;3;2;65000;2
7165189-1;0;1;4;44;7;1;2;1;600000;2;1;2;2;1;32000;0
7165191-1;0;1;4;42;7;1;3;1;1000000;2;3;1;4;1;65000;2
7165192-1;1;2;4;44;7;2;2;1;995949;2;1;1;3;2;70000;2
7165194-1;1;2;4;47;7;2;3;1;1930000;2;1;1;3;1;75000;2
7165195-1;0;1;5;85;7;1;3;4;1268666;0;3;1;4;1;33250;0
7165198-1;2;2;4;34;7;3;1;1;1005000;2;1;1;1;1;33000;0
7165199-1;1;2;4;77;7;2;1;4;860000;0;1;1;4;2;16000;0
7165200-1;1;2;4;39;7;2;1;1;470000;2;1;1;4;2;25000;0
7165202-1;1;2;3;71;7;4;1;4;2156666;0;1;1;3;2;0;0
7165204-1;1;2;4;59;7;2;2;1;1034782;0;1;1;2;2;30000;2
7165205-1;0;2;4;79;7;3;1;4;1126616;0;1;1;5;3;30000;0
7165206-1;0;1;5;68;7;1;1;4;356666;0;1;1;1;1;0;0
7165208-1;1;2;3;55;7;3;2;5;300000;0;1;1;3;1;50000;2
7165214-1;0;1;4;52;7;1;2;1;1200000;2;1;1;2;1;35000;1
7165216-1;0;2;4;73;7;1;1;4;693333;0;1;1;3;1;22000;0
7165218-1;0;2;3;63;7;1;1;4;1168333;0;1;1;4;1;27000;0
7165219-1;0;2;5;58;7;2;3;1;11558333;2;3;1;3;2;63910;1
7165220-1;1;2;3;78;7;2;3;6;1317959;0;1;1;4;2;80000;2
7165221-1;0;2;3;75;7;1;1;1;866666;0;1;1;3;1;15000;0
7165222-1;1;2;3;72;7;3;3;6;2042741;0;1;1;4;3;72000;0
7165226-1;0;1;4;63;7;1;2;6;2266666;2;3;1;2;1;20000;3
7165227-1;0;1;4;59;7;1;3;6;666666;0;3;1;4;1;35000;0
7165229-1;0;1;4;65;7;1;1;1;860000;0;1;1;3;1;18000;0
7165234-1;0;2;4;59;7;1;3;1;1000000;2;1;1;1;1;49000;0
7165239-1;0;1;4;52;7;1;1;1;1650000;0;1;1;3;1;15000;0
7165240-1;0;2;3;85;7;1;2;4;610000;0;1;1;4;1;33330;0
7165244-1;0;2;4;27;7;1;1;1;860000;2;1;1;2;1;30000;0
7165245-1;0;2;5;57;7;2;2;4;1021666;2;1;1;3;2;60000;1
7165247-1;1;1;4;63;7;2;1;1;1080000;2;3;1;5;2;50000;2
7165249-1;2;1;4;55;7;3;1;1;1200000;0;1;1;4;3;340000;1
7165255-1;1;2;4;38;7;2;1;1;1190000;0;1;1;3;2;15000;0
7165258-1;0;2;4;68;7;1;2;6;1033333;0;1;1;3;1;25000;1
7165259-1;1;2;4;55;7;4;1;4;2386666;0;1;1;4;3;40000;2
7165260-1;0;2;5;30;7;1;2;1;887500;2;3;1;3;1;35000;0
7165275-1;1;1;3;91;7;2;2;6;1281449;0;1;1;4;2;44000;0
7165277-1;3;2;3;85;7;6;2;5;3802782;0;1;1;5;4;98000;0
7165279-1;0;2;4;68;7;1;2;6;375833;2;1;1;3;1;23200;0
7165283-1;0;1;5;21;7;3;2;1;2857308;2;2;1;4;3;0;2
7165285-1;2;2;3;47;7;3;2;4;1634699;2;1;1;3;2;32350;2
7165286-1;2;2;3;65;7;3;2;4;3166000;2;1;1;4;1;42000;2
7165287-1;0;2;4;72;7;1;2;1;333333;0;1;1;3;1;42000;0
7165289-1;1;2;4;43;7;4;3;1;1290949;2;3;1;4;3;50000;0
7165290-1;1;2;6;58;7;2;1;4;800000;0;3;1;4;1;65000;1
7165294-1;0;2;2;49;7;2;2;4;8547219;0;1;1;3;2;40000;1
7165296-1;3;2;4;31;7;5;1;4;1570917;2;1;1;3;2;31000;0
7165297-1;1;2;4;47;7;2;2;4;1192204;2;1;1;3;2;41000;0
7165300-1;0;2;3;56;7;2;2;4;437500;2;1;1;3;2;54000;2
7165302-1;1;2;4;55;7;2;2;1;2512023;2;1;1;3;2;39000;1
7165303-1;0;1;2;77;7;1;2;6;1043219;0;1;1;4;1;250000;2
7165304-1;0;2;5;53;7;2;2;1;5763666;2;1;1;5;2;50000;2
7165306-1;2;2;4;32;7;3;2;1;1359157;2;1;1;3;2;0;0
7165307-1;0;1;5;49;7;2;1;4;1500116;0;1;1;5;2;46000;0
7165309-1;1;2;3;54;7;3;1;1;3308166;2;1;1;4;3;45000;3
7165313-1;0;1;5;41;7;1;2;1;1195166;2;3;1;3;1;32000;2
7165314-1;0;2;4;68;7;1;2;1;950000;0;1;1;3;1;30000;1
7165315-1;1;2;2;22;7;2;2;1;1043116;2;3;1;3;2;60000;0
7165316-1;0;2;5;20;7;1;2;1;1000000;2;1;2;1;1;0;0
7165318-1;2;2;3;73;7;4;3;4;2325333;0;1;1;5;3;56000;1
7165321-1;0;2;5;66;7;2;2;1;570000;0;1;1;2;2;39250;0
7165322-1;0;1;4;69;7;1;2;1;510000;0;1;1;1;1;67000;0
7165324-1;1;1;3;86;7;4;1;6;2978333;0;1;1;3;2;45000;2
7165326-1;0;1;5;32;7;3;1;1;5238333;2;3;1;7;2;79500;2
7165327-1;0;2;4;53;7;1;1;4;250000;0;1;1;3;1;47000;0
7165328-1;0;1;4;46;7;1;1;1;1130000;2;1;1;3;1;70000;0
7165332-1;0;2;4;79;7;2;1;4;1025333;0;1;1;4;2;30000;0
7165333-1;0;2;3;81;7;1;0;4;290000;0;1;1;1;1;0;0
7165335-1;3;2;2;45;7;7;2;1;7417333;2;1;1;6;5;85000;3
7165337-1;2;1;4;39;7;3;8;1;815000;0;1;1;3;3;0;0
7165338-1;0;1;6;80;7;1;1;1;1554666;0;1;1;3;1;23500;0
7165339-1;0;1;4;41;7;1;1;1;1115333;0;3;1;4;1;40000;0
7165340-1;1;2;4;44;7;4;2;4;2309833;0;1;1;4;3;41500;2
7165341-1;1;2;3;77;7;4;2;5;2627000;0;1;1;5;3;60000;2
7165342-1;0;1;5;47;7;1;1;6;350000;2;1;1;3;1;20000;0
7165345-1;1;2;3;77;7;2;2;5;1400000;0;1;1;4;3;45000;2
7165347-1;0;2;3;74;7;3;2;4;830000;0;1;1;6;3;60000;1
7165348-1;0;2;6;70;7;1;2;4;550000;2;1;1;4;1;45000;0
7165353-1;1;2;4;61;7;2;1;4;1305333;0;1;1;4;2;50000;1
7165358-1;0;1;5;54;7;1;1;1;500000;0;1;1;2;1;32000;0
7165359-1;0;2;6;58;7;1;1;1;2137500;2;3;1;2;1;30000;1
7165359-2;2;2;5;27;7;3;1;4;605000;2;3;1;2;1;0;0
7165364-1;0;1;5;57;7;1;1;5;189166;2;1;1;4;1;27000;0
7165370-1;1;2;4;62;7;2;1;4;750000;0;1;1;1;1;0;0
7165372-1;0;1;4;60;7;1;1;1;800000;2;1;2;1;1;0;0
7165376-1;1;1;3;62;7;2;1;4;3216666;2;1;1;4;2;45000;1
7165378-1;1;2;4;49;7;2;1;1;600000;2;1;1;4;2;29000;2
7165383-1;0;2;4;67;7;1;2;4;41666;0;1;1;4;1;74000;1
7165384-1;0;2;3;57;7;1;1;1;100000;0;1;1;2;1;20000;0
7165386-1;0;1;4;68;7;1;2;4;1130000;0;1;1;3;1;40000;0
7165387-1;0;1;5;71;4;6;2;1;3484166;0;1;1;4;3;48000;0
7165390-1;8;2;3;53;4;13;1;4;5765583;0;1;1;6;3;55000;0
7165391-1;1;2;4;35;4;2;5;1;3350000;2;3;1;3;2;87000;1
7165392-1;0;2;4;42;4;1;3;1;3060000;2;3;1;2;1;25000;1
7165393-1;0;2;5;25;4;1;3;1;2000000;2;3;1;2;1;25000;0
7165394-1;0;2;5;37;4;1;3;1;5000000;2;3;1;2;1;25000;1
7165396-1;2;2;4;36;4;3;1;1;610000;2;1;1;1;1;10000;0
7165400-1;0;2;5;55;4;1;2;4;1425000;2;3;1;4;2;30000;2
7165401-1;0;2;4;65;4;1;4;6;1000000;2;3;1;3;1;52000;1
7165402-1;1;2;4;66;4;2;3;4;2593333;2;1;1;5;2;75000;0
7165404-1;3;2;3;49;4;6;2;1;1700000;2;1;1;4;3;60000;2
7165408-1;0;1;5;67;4;2;4;6;1700000;0;1;1;5;2;60000;2
7165409-1;1;2;5;42;4;2;4;1;4391666;2;3;1;3;2;45000;2
7165410-1;0;1;5;32;4;1;5;1;10083333;2;3;1;2;1;0;3
7165411-1;0;2;5;33;4;1;4;1;4000000;2;3;1;2;1;20000;1
7165412-1;1;2;3;84;4;4;4;4;5650333;0;1;1;6;3;140000;5
7165416-1;1;2;3;62;4;2;1;4;560000;0;0;1;2;2;25000;0
7165427-1;0;2;5;68;4;1;1;4;112500;0;1;1;1;1;15000;0
7165428-1;2;2;3;62;4;3;1;4;460000;0;1;1;3;2;25000;0
7165429-1;0;1;1;44;4;1;1;1;340000;0;1;1;2;1;12000;0
7165430-1;1;2;4;46;4;3;1;1;742000;0;1;1;3;2;12500;0
