Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7166455-1;0;1;4;60;3;1;1;1;1300000;0;1;1;3;1;500;0
7166460-1;0;1;5;60;3;1;2;1;450000;0;1;1;1;1;10000;0
7166461-1;0;1;4;67;3;1;2;1;550000;0;1;1;2;1;37500;0
7166466-1;1;2;4;29;3;2;2;4;616666;2;1;2;2;1;0;0
7166468-1;0;2;4;53;3;1;2;4;560000;0;1;2;2;1;12000;0
7166469-1;0;1;5;50;3;2;2;1;900000;2;1;1;4;2;36820;1
7166470-1;1;2;4;26;3;2;2;1;1324032;2;2;1;3;1;36824;1
7166471-1;0;2;3;85;3;1;1;4;180000;0;1;1;3;1;15000;0
7166472-1;2;1;4;45;3;3;1;1;770000;0;1;2;1;1;5000;0
7166473-1;0;2;3;75;3;1;2;4;137500;0;0;1;3;1;25000;0
7166474-1;1;2;3;58;3;2;1;1;1900000;2;1;1;2;2;17000;0
7166475-1;0;1;4;58;3;2;2;1;680000;0;1;1;3;2;17426;0
7166482-1;0;1;4;55;3;1;1;1;1100000;2;1;1;3;1;41000;1
7166483-1;1;1;5;40;3;2;1;1;1131630;0;1;1;4;2;30000;0
7166489-1;0;1;4;38;3;1;1;1;1212500;2;1;1;2;1;0;0
7166494-1;1;2;3;91;3;2;1;4;350000;0;0;1;4;2;25000;0
7166497-1;1;1;4;40;3;2;1;1;735000;2;1;1;4;2;40000;0
7166501-1;1;1;4;80;3;2;1;5;225000;0;1;1;5;2;2500;0
7166509-1;0;1;4;57;3;1;1;1;29166;0;1;1;3;1;28000;0
7166512-1;1;2;3;81;3;3;2;4;95000;0;1;1;3;2;50000;0
7166513-1;1;2;4;81;3;3;1;4;315000;0;0;1;2;2;21500;0
7166514-1;0;1;4;64;3;1;1;1;230000;0;1;1;3;1;35000;0
7166515-1;0;2;4;63;3;1;1;4;310000;0;1;1;2;1;7500;0
