Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7121819-1;1;1;1;2;2;6;26;35;3;1;2;1;1;2;2;1;3;
7121820-1;0;1;1;;;4;59;;3;1;3;1;;0;;0;;
7121822-1;2;1;1;2;2;1;28;23;3;1;3;1;4;2;2;3;1;
7121823-1;0;1;1;;;2;59;;3;1;3;1;;0;;1;;
7121825-1;2;1;2;;;4;35;;3;1;3;1;;2;;3;;
7121826-1;0;1;1;;;5;27;;3;1;2;1;;2;;3;;
7121827-1;3;1;2;;;5;34;;3;1;1;2;;0;;1;;
7121828-1;0;1;1;;;5;61;;3;1;1;1;;0;;1;;
7121829-1;2;1;1;2;2;2;50;45;3;1;1;1;4;0;0;1;1;
7121830-1;2;1;1;2;2;2;47;42;3;1;1;1;4;0;2;1;1;
7121831-1;1;1;2;;;5;26;;3;1;1;1;;2;;1;;
7121832-1;0;1;1;2;2;2;25;16;3;1;1;1;4;0;2;1;3;
7121833-1;1;1;2;;;5;26;;3;1;1;1;;2;;1;;
7121834-1;0;1;2;;;5;49;;3;1;2;1;;2;;1;;
7121835-1;1;1;1;2;2;2;44;42;3;1;3;1;4;2;2;1;3;
7121836-1;0;1;1;;;5;53;;3;1;3;1;;0;;1;;
7121837-1;1;1;2;;;4;41;;3;1;3;1;;0;;1;;
7121838-1;1;1;2;2;1;2;41;51;3;1;3;4;1;2;0;3;1;
7121839-1;0;1;2;;;5;76;;3;1;3;1;;0;;1;;
7121840-1;1;1;2;;;3;93;;3;1;3;5;;0;;0;;
7121841-1;2;1;1;2;2;2;40;31;3;1;1;2;1;0;1;1;1;
7121842-1;0;1;1;;;3;69;;3;1;3;1;;0;;1;;
7121843-1;0;1;2;;;4;55;;3;1;1;4;;2;;1;;
7121844-1;0;1;1;2;2;6;61;55;3;1;1;4;4;2;2;1;1;
7121845-1;2;1;2;;;4;34;;3;1;1;4;;2;;1;;
7121846-1;2;1;1;2;2;2;26;22;3;1;1;1;4;0;0;3;3;
7121847-1;2;1;1;2;2;2;54;42;3;1;1;1;4;2;2;1;1;
7121848-1;1;1;1;2;2;6;48;45;3;1;1;1;1;2;2;1;1;
7121849-1;3;1;2;;;4;35;;3;1;1;4;;1;;3;;
7121850-1;0;1;2;;;3;79;;3;1;1;4;;0;;1;;
7121853-1;0;1;1;2;2;2;43;50;3;1;2;2;4;0;0;1;1;
7121854-1;1;1;1;2;2;6;53;42;3;1;3;1;4;0;0;1;1;
7121856-1;4;1;1;2;2;2;45;41;3;1;1;2;4;0;0;1;1;
7121857-1;1;1;1;2;2;6;38;27;3;1;1;1;1;2;2;1;1;
7121859-1;0;1;1;2;2;6;71;64;3;1;2;1;4;0;0;1;1;
7121860-1;0;1;1;2;2;6;62;62;3;1;2;1;4;0;0;0;1;
7121862-1;3;1;1;2;2;6;59;51;3;1;1;1;4;0;0;1;1;
7121863-1;0;1;1;;;5;30;;3;1;1;1;;2;;1;;
7121864-1;3;1;1;;;2;49;;3;1;1;1;;0;;1;;
7121866-1;0;1;1;2;2;2;32;42;3;1;1;1;4;2;2;1;1;
7121867-1;3;1;1;2;2;2;28;26;3;1;1;1;4;2;0;1;1;
7121868-1;2;1;2;2;1;6;44;46;3;1;1;1;1;2;2;1;1;
7121869-1;1;1;1;2;2;6;49;43;3;1;1;1;1;2;2;1;3;
7121870-1;2;1;2;;;4;54;;3;1;1;1;;0;;1;;
7121871-1;4;1;1;2;2;6;46;35;3;1;2;1;4;0;0;1;1;
7121874-1;1;1;1;;;4;73;;3;1;2;6;;2;;3;;
7121875-1;0;1;1;;;5;14;;3;1;1;3;;2;;3;;
7121876-1;0;1;1;;;5;45;;3;1;2;1;;2;;3;;
7121877-1;3;1;2;;;2;34;;3;1;1;4;;0;;1;;
7121878-1;2;1;2;;;4;22;;3;1;1;4;;2;;1;;
7121879-1;0;1;1;;;5;35;;3;1;1;1;;2;;1;;
7121880-1;1;1;2;;;2;22;;3;1;1;4;;1;;1;;
7121881-1;0;1;2;;;3;87;;3;1;1;1;;0;;0;;
7121883-1;0;1;2;;;3;59;;3;1;0;4;;0;;0;;
7121884-1;0;1;1;2;2;6;62;61;3;1;1;1;4;0;0;1;1;
7121888-1;1;1;1;2;2;2;31;21;3;1;1;1;4;0;1;1;1;
7121889-1;4;1;2;;;4;32;;3;1;1;4;;2;;1;;
7121890-1;2;1;1;2;2;2;20;20;3;1;1;1;4;0;0;1;1;
7121892-1;3;1;1;2;2;6;45;38;3;1;1;1;4;0;0;1;1;
7121893-1;2;1;2;;;4;47;;3;1;1;4;;2;;1;;
7121894-1;2;1;2;2;1;2;35;31;3;1;2;4;1;2;2;1;1;
7121895-1;1;1;1;2;2;6;70;55;3;1;1;1;4;0;0;1;1;
7121896-1;0;1;1;;;5;26;;3;1;1;1;;2;;3;;
7121897-1;0;1;1;;;4;28;;3;1;1;1;;2;;1;;
7121898-1;2;1;2;2;1;2;41;52;3;1;1;4;1;2;0;1;0;
7121899-1;1;1;1;2;2;6;23;29;3;1;1;1;4;2;2;1;1;
7121901-1;2;1;2;;;4;49;;3;1;1;2;;0;;1;;
7121902-1;4;1;2;;;4;33;;3;1;1;1;;0;;1;;
7121903-1;0;1;1;;;4;53;;3;1;1;1;;2;;1;;
7121904-1;0;1;1;;;5;49;;3;1;1;1;;0;;1;;
7121905-1;3;1;2;;;2;26;;3;1;1;4;;0;;1;;
7121906-1;1;1;1;2;2;2;54;52;3;1;2;1;4;2;0;1;1;
7121907-1;0;1;2;;;4;40;;3;1;2;4;;0;;1;;
7121908-1;1;1;1;2;2;6;75;68;3;1;2;4;4;0;2;1;3;
7121910-1;0;1;1;2;2;6;61;54;3;1;2;4;4;2;2;1;1;
7121911-1;1;1;1;2;2;6;83;75;3;1;2;5;5;0;0;1;1;
7121912-1;1;1;2;2;1;2;35;44;3;1;2;1;1;2;2;1;1;
7121913-1;1;1;1;2;2;6;65;60;3;1;1;5;4;0;0;1;1;
7121914-1;0;1;1;;;5;38;;3;1;1;1;;0;;1;;
7121915-1;0;1;2;;;3;53;;3;1;1;1;;0;;1;;
7121916-1;0;1;2;;;4;48;;3;1;1;2;;0;;1;;
7121919-1;0;1;2;;;3;85;;3;1;2;4;;0;;1;;
7121920-1;1;1;2;;;4;58;;3;1;2;1;;2;;3;;
7121921-1;2;1;2;2;1;6;29;29;3;1;3;4;1;2;2;3;3;
7121922-1;2;1;2;2;1;2;38;42;3;1;2;4;1;2;2;3;1;
7121923-1;3;1;2;;;4;48;;3;1;1;4;;2;;1;;
7121924-1;1;1;1;2;2;2;29;37;3;1;1;2;4;0;0;1;1;
7121925-1;0;1;2;;;3;63;;3;1;2;5;;0;;1;;
7121926-1;1;1;1;2;2;6;27;24;3;1;2;1;4;2;2;1;3;
7121927-1;0;1;2;;;3;80;;3;1;2;4;;0;;1;;
7121928-1;4;1;1;2;2;6;49;39;3;1;2;1;4;0;2;1;1;
7121929-1;0;1;2;;;4;73;;3;1;3;4;;0;;1;;
7121930-1;0;1;1;;;5;38;;3;1;1;1;;2;;1;;
7121931-1;0;1;1;2;2;6;59;60;3;1;2;4;1;2;2;1;3;
7121932-1;0;1;1;;;2;28;;3;1;2;1;;2;;1;;
7121933-1;2;1;2;;;3;36;;3;1;1;1;;2;;3;;
7121934-1;3;1;2;2;1;6;41;52;3;1;2;1;1;2;0;2;1;
7121935-1;1;1;2;;;5;53;;3;1;2;4;;2;;1;;
7121936-1;1;1;1;2;2;6;56;51;3;1;2;1;4;0;2;1;1;
7121937-1;0;1;1;2;2;2;62;54;3;1;2;1;4;0;2;1;1;
7121939-1;2;1;2;;;4;40;;3;1;2;1;;0;;1;;
7121940-1;1;1;2;;;3;55;;3;1;2;4;;0;;1;;
7121942-1;1;1;2;;;5;33;;3;1;2;1;;2;;1;;
7121942-2;0;1;2;;;5;50;;3;1;2;1;;2;;1;;
7121943-1;1;1;2;;;3;76;;3;1;2;4;;0;;1;;
7121944-1;0;1;1;;;5;40;;3;1;2;1;;2;;3;;
7121945-1;0;1;1;2;2;6;89;68;3;1;3;5;4;0;1;1;1;
7121946-1;1;1;2;;;5;67;;3;1;3;4;;0;;1;;
7121947-1;0;1;1;2;2;6;73;65;3;1;3;4;4;0;2;1;1;
7121949-1;1;1;2;;;4;61;;3;1;3;6;;0;;1;;
7121950-1;0;1;1;2;2;2;66;66;3;1;3;6;6;2;0;3;3;
7121951-1;0;1;2;;;5;49;;3;1;3;1;;0;;1;;
7121952-1;2;1;1;2;2;6;47;31;3;1;3;1;1;2;2;3;3;
7121953-1;0;1;1;2;2;6;72;64;3;1;3;1;1;0;0;1;1;
7121954-1;1;1;2;;;4;31;;3;1;2;1;;2;;3;;
7121955-1;0;1;1;2;2;6;52;37;3;1;3;1;1;2;2;3;3;
7121956-1;1;1;2;;;4;85;;3;1;2;4;;0;;1;;
7121957-1;1;1;1;2;2;2;43;35;3;1;3;1;4;2;2;3;3;
7121959-1;0;1;1;;;5;33;;3;1;3;1;;2;;3;;
7121960-1;3;1;1;2;2;6;48;49;2;1;3;2;1;2;2;3;3;
7121961-1;0;1;1;2;2;1;32;21;2;1;3;2;3;2;2;3;3;
7121962-1;2;1;2;2;1;1;38;48;2;1;3;4;1;0;0;1;1;
