Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7122221-1;1;1;2;3;39;7;1;3;1;2;3;;;
7122222-1;1;1;2;3;57;7;1;3;4;0;1;;;
7122223-2;1;1;2;4;36;7;1;1;1;2;1;;;
7122227-1;1;1;2;5;32;7;1;1;1;2;1;;;
7122228-1;1;1;2;4;45;7;1;1;1;2;1;;;
7122242-1;0;1;2;3;60;4;1;3;1;2;1;;;
7122245-1;1;1;2;4;38;4;1;3;2;2;1;;;
7122246-1;0;1;2;4;62;4;1;3;1;2;3;;;
7122248-1;0;1;2;5;18;4;1;3;3;2;3;;;
7122249-1;0;1;1;3;70;4;1;3;1;0;1;;;
7122251-1;1;1;1;3;49;4;1;2;1;2;3;;;
7122257-1;2;1;2;4;54;4;1;3;4;0;1;;;
7122258-1;0;1;1;4;55;4;1;3;1;2;3;;;
7122259-1;0;1;2;3;76;4;1;3;4;0;1;;;
7122261-1;0;1;2;5;24;4;1;3;1;2;3;;;
7122262-1;0;1;1;5;21;4;1;3;1;2;3;;;
7122264-1;2;1;2;4;68;4;1;1;4;2;1;;;
7122268-1;4;1;2;4;47;4;1;1;2;0;1;;;
7122270-1;2;1;2;5;53;4;1;1;4;0;1;;;
7122271-1;2;1;2;5;45;4;1;1;1;2;1;;;
7122272-1;4;1;2;3;61;4;1;1;4;0;1;;;
7122273-1;2;1;2;3;56;4;1;1;4;0;1;;;
7122274-1;0;1;2;5;60;4;1;1;1;0;0;;;
7122275-1;2;1;2;4;53;4;1;1;1;2;3;;;
7122277-1;1;1;2;5;59;4;1;1;2;0;1;;;
7122282-1;1;1;2;6;38;4;1;1;1;1;1;;;
7122284-1;1;1;2;4;36;4;1;1;4;2;3;;;
7122285-1;1;1;2;2;35;4;1;1;1;0;1;;;
7122287-1;1;1;1;4;45;4;1;1;1;2;1;;;
7122289-1;1;1;2;4;35;4;1;1;1;2;1;;;
7122291-1;2;1;1;4;37;4;1;1;1;0;1;;;
7122292-1;2;1;2;4;51;4;1;1;1;0;1;;;
7122293-1;1;1;1;4;73;4;1;1;5;0;1;;;
7122296-1;2;1;2;4;49;4;1;1;1;2;1;;;
7122298-1;2;1;2;1;44;4;1;1;1;0;1;;;
7122300-1;3;1;2;2;50;4;1;1;4;0;1;;;
7122302-1;3;1;2;3;55;4;1;1;4;0;1;;;
7122306-1;1;1;2;3;65;4;1;1;4;0;1;;;
7122307-1;2;1;2;3;80;4;1;1;5;0;1;;;
7122308-1;1;1;2;5;46;4;1;1;5;0;1;;;
7122314-1;0;1;2;5;48;3;1;1;1;2;3;;;
7122315-1;2;1;2;4;48;3;1;2;1;2;1;;;
7122319-1;1;1;1;3;54;3;1;2;1;0;1;;;
7122320-1;1;1;2;4;44;3;1;2;2;0;1;;;
7122321-2;0;1;1;5;43;3;1;2;1;0;1;;;
7122321-3;0;1;1;5;40;3;1;2;1;0;1;;;
7122321-4;0;1;1;5;16;3;1;2;1;0;1;;;
7122322-1;0;1;1;5;86;3;1;2;6;0;1;;;
7122323-1;0;1;2;5;69;3;1;2;6;2;1;;;
7122324-1;0;1;2;5;52;3;1;2;1;2;1;;;
7122327-1;0;1;2;4;48;3;1;2;5;2;3;;;
7122328-1;1;1;2;4;34;3;1;2;1;0;1;;;
7122331-1;2;1;2;2;56;3;1;2;4;2;1;;;
7122333-1;0;1;1;4;34;3;1;2;1;2;3;;;
7122342-1;2;1;2;4;35;3;1;1;1;2;1;;;
7122351-1;0;1;1;5;34;3;1;1;1;2;1;;;
7122355-1;0;1;1;4;65;3;1;4;6;2;3;;;
7122356-1;0;1;1;5;82;3;1;2;4;0;0;;;
7122362-1;0;1;2;3;70;3;1;1;4;0;0;;;
7122363-1;0;1;1;5;40;3;1;1;1;0;0;;;
7122364-1;0;1;1;6;87;3;2; ;1;0;0;;;
7122365-1;3;1;2;5;33;3;1;1;4;2;1;;;
7122366-1;0;1;2;5;57;3;1;1;4;0;1;;;
7122371-1;1;1;2;6;40;3;1;2;2;2;3;;;
7122372-1;0;1;2;3;76;3;1;1;4;0;1;;;
7122375-1;2;1;2;3;74;3;1;2;4;0;1;;;
7122378-1;0;1;2;4;59;3;1;2;4;0;1;;;
7122381-1;0;1;2;4;72;3;1;2;4;0;1;;;
7122382-1;1;1;2;3;63;3;1;2;4;2;1;;;
7122383-1;0;1;2;6;24;3;1;2;1;2;3;;;
7122385-1;0;1;1;5;21;3;1;5;3;2;3;;;
7122386-1;1;1;2;5;78;3;1;3;4;2;1;;;
7122389-1;1;1;2;6;44;3;1;4;1;2;3;;;
7122392-1;2;1;2;5;52;3;1;3;1;2;2;;;
7122395-1;1;1;2;4;33;3;1;3;3;2;3;;;
7122396-1;1;1;2;4;75;3;1;2;4;0;1;;;
