Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge
7122152-1;1;1;1;2;2;6;68;63
7122153-1;1;1;1;2;2;6;63;61
7122154-1;1;1;1;2;2;6;54;48
7122157-1;0;1;1;;;5;21;
7122159-1;2;1;1;2;2;2;30;30
7122161-1;1;1;1;2;2;1;70;62
7122162-1;0;1;1;2;2;6;68;63
7122163-1;2;1;2;;;3;58;
7122164-1;2;1;1;2;2;2;43;42
7122165-1;1;1;1;2;2;6;56;56
7122166-1;0;1;1;2;2;2;69;59
7122167-1;2;1;1;2;2;6;41;37
7122168-1;0;1;2;;;3;69;
7122171-1;0;1;1;2;2;6;80;77
7122172-1;0;1;2;;;5;42;
7122173-1;0;1;2;;;4;73;
7122174-1;1;1;1;2;2;2;39;38
7122176-1;0;1;2;;;5;59;
7122180-1;0;1;2;;;5;73;
7122183-1;2;1;1;2;2;6;59;58
7122184-1;3;1;2;;;4;73;
7122185-1;1;1;1;2;2;6;75;64
7122187-1;0;1;2;2;1;6;66;77
7122188-1;0;1;1;2;2;6;62;64
7122189-1;0;1;1;2;2;6;36;33
7122190-1;0;1;1;2;2;6;45;48
7122191-1;2;1;2;2;1;6;50;52
7122192-1;0;1;2;2;1;6;57;66
7122193-1;0;1;2;;;3;59;
7122195-1;1;1;1;2;2;6;57;54
7122197-1;2;1;1;2;2;6;54;50
7122198-1;1;1;2;;;4;43;
7122199-1;1;1;1;2;2;6;49;50
7122200-1;2;1;1;2;2;6;33;32
7122201-1;1;1;2;;;4;27;
7122202-1;3;1;1;2;2;6;56;50
7122203-1;2;1;1;2;2;2;48;46
7122204-1;2;1;1;2;2;6;59;54
7122205-1;1;1;1;2;2;2;34;28
7122206-1;0;1;1;;;5;26;
7122207-1;2;1;1;2;2;6;46;46
7122208-1;0;1;1;;;4;71;
7122209-1;2;1;1;2;2;2;54;48
7122210-1;1;1;1;2;2;2;48;35
7122211-1;0;1;1;2;2;2;69;64
7122212-1;0;1;2;;;3;60;
7122213-1;0;1;1;;;5;23;
7122214-1;1;1;2;;;4;47;
7122215-1;0;1;1;2;2;6;71;54
7122216-1;0;1;1;2;2;6;71;67
7122217-1;3;1;1;2;2;1;41;37
7122219-1;1;1;1;2;2;6;47;40
7122220-1;2;1;1;2;2;2;49;47
7122221-1;1;1;2;;;3;39;
7122222-1;1;1;2;;;3;57;
7122223-1;0;1;1;2;2;2;32;46
7122223-2;1;1;2;;;4;36;
7122225-1;2;1;1;2;2;1;39;39
7122226-1;1;1;1;2;2;2;28;27
7122227-1;1;1;2;;;5;32;
7122228-1;1;1;2;;;4;45;
7122229-1;2;1;1;2;2;2;47;50
7122230-1;2;1;1;2;2;2;54;49
7122231-1;1;1;1;2;2;2;72;62
7122232-1;2;1;1;2;2;2;41;41
7122233-1;1;1;1;2;2;2;62;44
7122234-1;0;1;1;2;2;2;51;32
7122235-1;0;1;1;2;2;6;71;63
7122236-1;1;1;1;2;2;2;45;41
7122237-1;1;1;1;2;2;6;59;56
7122238-1;2;1;1;2;2;6;73;69
7122240-1;0;1;1;2;2;6;61;62
7122241-1;3;1;1;2;2;6;66;63
7122242-1;0;1;2;;;3;60;
7122244-1;0;1;1;2;2;6;77;66
7122245-1;1;1;2;;;4;38;
7122246-1;0;1;2;;;4;62;
7122247-1;1;1;2;2;1;6;63;63
7122248-1;0;1;2;;;5;18;
7122249-1;0;1;1;;;3;70;
7122250-1;1;1;1;2;2;6;65;58
7122251-1;1;1;1;;;3;49;
7122252-1;0;1;1;2;2;6;82;84
7122253-1;1;1;1;2;2;2;50;37
7122255-1;1;1;1;2;2;2;53;49
7122257-1;2;1;2;;;4;54;
