Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Educacion padre;Educacion madre
7122356-1;0;1;1;;;5;;
7122357-1;0;1;1;2;2;2;;
7122358-1;3;1;1;2;2;2;;
7122359-1;0;1;1;2;2;6;;
7122360-1;1;1;1;2;2;2;;
7122362-1;0;1;2;;;3;;
7122363-1;0;1;1;;;5;;
7122364-1;0;1;1;;;6;;
7122365-1;3;1;2;;;5;;
7122366-1;0;1;2;;;5;;
7122368-1;1;1;1;2;2;6;;
7122370-1;1;1;2;2;1;6;;
7122371-1;1;1;2;;;6;;
7122372-1;0;1;2;;;3;;
7122374-1;0;1;1;2;2;1;;
7122375-1;2;1;2;;;3;;
7122378-1;0;1;2;;;4;;
7122379-1;0;1;1;2;2;6;;
7122380-1;0;1;1;2;2;6;;
7122381-1;0;1;2;;;4;;
7122382-1;1;1;2;;;3;;
7122383-1;0;1;2;;;6;;
7122384-1;1;1;1;2;2;6;;
7122385-1;0;1;1;;;5;;
7122386-1;1;1;2;;;5;;
7122387-1;0;1;2;2;1;6;;
7122388-1;1;1;1;2;2;2;;
7122389-1;1;1;2;;;6;;
7122390-1;1;1;2;2;1;6;;
7122391-1;2;1;1;2;2;6;;
7122392-1;2;1;2;;;5;;
7122393-1;1;1;1;2;2;6;;
7122394-1;2;1;2;2;1;6;;
7122395-1;1;1;2;;;4;;
7122396-1;1;1;2;;;4;;
7122397-1;0;1;2;;;4;;
7122398-1;0;1;2;;;3;;
7122400-1;1;1;1;2;2;1;;
7122401-1;2;1;2;2;1;6;;
7122402-1;1;1;2;;;3;;
7122404-1;0;1;1;;;5;;
7122405-1;2;1;1;2;2;6;;
7122406-1;0;1;1;;;5;;
7122407-1;0;1;2;;;3;;
7122409-1;0;1;2;;;4;;
7122412-1;0;1;1;2;2;6;;
7122414-1;0;1;2;;;3;;
7122415-1;2;1;2;;;3;;
7122416-1;2;1;1;2;2;6;;
7122417-1;0;1;2;;;3;;
7122418-1;1;1;2;2;1;6;;
7122420-1;0;1;1;;;5;;
7122421-1;3;1;2;;;3;;
7122422-1;3;1;1;2;2;2;;
7122423-1;3;1;2;;;6;;
7122424-1;1;1;1;2;2;6;;
7122424-2;2;1;1;2;2;2;;
7122425-1;2;1;2;2;1;6;;
7122426-1;2;1;2;2;1;6;;
7122427-1;2;1;2;;;5;;
7122428-1;1;1;2;2;1;2;;
7122430-1;1;1;1;2;2;1;;
7122431-1;0;1;2;;;5;;
7122432-1;3;1;1;2;2;2;;
7122433-1;2;1;1;;;4;;
7122434-1;0;1;2;;;4;;
7122435-1;0;1;1;;;5;;
7122437-1;2;1;2;;;5;;
7122438-1;3;1;1;2;2;2;;
7122439-1;1;1;1;2;2;2;;
7122442-1;0;1;1;;;5;;
7122443-1;0;1;1;;;5;;
