Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7228612-1;0;1;2;6;59;58;6;2;3;1;4;1705500;0;0;1;1;1;4;1;183270;1
7228613-1;1;1;2;6;67;57;6;3;3;6;4;790000;0;0;1;1;1;5;3;131000;1
7228614-1;1;1;2;6;64;58;6;3;3;6;4;1683666;0;0;1;1;1;4;2;137000;1
7228615-1;3;1;2;6;52;44;6;6;3;4;4;1613000;0;0;1;1;1;6;4;80000;1
7228620-1;2;1;2;6;39;35;6;4;3;1;4;2553666;0;0;1;1;1;4;2;100000;1
7228622-1;1;2;1;6;69;77;6;3;3;4;6;1650000;0;0;1;1;1;5;2;66000;1
7228623-1;1;1;2;6;84;80;6;3;3;5;4;1500000;2;0;2;1;1;7;2;52204;1
7228626-1;1;2;1;6;62;65;6;4;3;4;5;2727882;0;0;1;1;1;5;3;55000;1
7228627-1;1;2;1;6;43;51;6;3;3;4;1;2347125;0;0;1;1;1;4;2;15000;1
7228630-1;2;2;1;6;23;24;1;3;2;4;1;2000000;2;2;3;3;1;5;3;97000;2
7228632-1;0;1;2;6;56;37;1;2;3;1;1;1463663;2;2;3;3;1;4;2;170000;2
7228635-1;1;1;2;6;30;29;1;3;1;1;4;2040000;2;2;3;3;1;4;2;120000;2
7228636-1;1;1;2;6;49;49;1;3;2;1;4;1000000;2;2;1;1;1;6;2;147000;2
7228645-1;0;1;2;6;55;56;1;2;3;1;1;2000000;2;2;1;1;1;4;2;180000;4
7228647-1;5;1;2;2;53;51;1;8;1;1;1;4664000;2;2;1;1;1;4;3;190000;3
7228648-1;0;1;2;6;70;72;1;2;3;1;1;6800000;2;2;1;1;1;4;1;248000;2
7228651-1;4;1;2;2;43;44;1;6;1;1;4;1000000;0;0;1;0;1;3;2;14930;3
7228652-1;0;1;2;2;37;43;1;2;1;1;4;850000;0;0;1;1;1;3;1;39660;0
7228656-1;3;1;2;6;42;36;1;5;1;1;4;1235000;0;0;1;1;1;3;2;11380;3
7228657-1;3;1;2;6;67;54;1;10;1;1;4;1870000;0;0;0;0;1;4;3;9800;4
7228658-1;1;1;2;2;32;32;1;3;1;1;4;755000;2;0;1;1;1;3;2;37000;0
7228661-1;5;1;2;2;41;41;1;7;1;1;4;1262500;2;2;1;1;1;3;2;26000;0
7228682-1;1;1;2;2;22;41;4;3;8;4;4;0;0;0;0;0;1;1;1;65524;0
7228683-1;5;1;2;2;58;54;4;7;8;4;4;341666;0;0;0;0;1;1;1;112943;0
7228685-1;0;1;2;2;83;78;4;3;8;1;1;247083;0;0;0;1;1;3;2;88862;0
7228686-1;1;1;2;2;45;35;4;3;8;1;1;295000;0;0;0;0;1;2;1;5989;0
7228688-1;0;1;2;2;66;78;4;2;8;1;4;1250000;0;0;1;0;1;2;1;99095;0
7228689-1;1;1;2;2;25;20;4;3;8;1;4;180000;0;0;0;0;2;1;1;73029;0
7228691-1;3;1;2;2;45;33;4;6;8;1;4;240000;0;0;0;1;1;4;3;64522;0
7228694-1;3;1;2;2;47;52;4;5;8;4;4;15000;0;0;0;0;1;1;1;0;0
7228695-1;1;1;2;2;34;34;4;3;8;4;4;15000;0;0;0;0;1;1;1;114184;0
7228697-1;5;1;2;2;33;29;4;7;8;1;4;1525416;0;0;1;3;1;1;1;22049;0
7228699-1;2;1;2;2;18;31;4;3;8;4;4;0;0;0;0;0;1;1;1;86492;0
7228700-1;4;1;2;2;40;62;4;6;8;4;4;275000;0;0;0;0;1;1;1;42833;0
7228702-1;4;1;2;2;46;45;4;6;8;4;4;130000;0;0;0;0;1;1;1;40907;0
7228703-1;2;1;2;2;24;30;4;4;8;4;4;3805636;0;0;0;0;1;1;1;0;0
7228728-1;0;1;2;1;18;17;4;2;8;4;4;20000;0;0;0;0;1;1;1;54572;0
7228729-1;0;1;2;2;52;62;4;2;8;4;4;2021291;0;0;0;0;1;1;1;26892;0
7228741-1;5;2;1;2;33;34;4;7;8;4;1;2385000;0;0;1;1;1;4;3;46481;2
7228742-1;1;2;1;2;59;68;4;3;8;4;6;100000;0;0;1;1;1;3;2;38120;0
7228744-1;1;1;2;1;27;25;4;2;8;1;4;280000;2;2;1;1;2;3;1;92805;0
7228746-1;3;1;2;2;37;31;4;5;8;4;4;60000;0;0;1;1;1;5;3;22406;0
7228749-1;2;1;2;2;28;25;4;4;8;1;4;100000;2;2;1;1;1;3;1;83353;0
7228753-1;3;1;2;2;60;48;4;5;8;1;4;193000;0;0;1;0;1;6;4;5000;0
7228756-1;2;1;2;2;36;40;4;4;8;1;4;674000;0;0;1;1;1;4;3;71170;0
7228757-1;5;2;1;2;31;32;4;6;8;4;1;867500;0;0;1;1;1;3;2;0;0
7228759-1;1;1;2;2;29;26;4;3;8;1;4;100000;0;0;1;1;2;3;1;94065;0
7228760-1;1;1;2;2;45;51;4;5;8;1;1;1269282;0;0;1;1;1;4;2;50307;0
7228762-1;0;2;1;2;45;63;4;2;8;1;1;350000;0;0;1;1;1;4;1;61708;0
7228764-1;4;1;2;2;42;36;4;6;8;1;4;540000;0;0;1;1;1;4;3;52915;2
7228778-1;4;1;2;2;42;33;4;6;8;4;4;890044;0;0;0;0;1;1;1;93547;0
7228779-1;2;1;2;2;36;31;4;4;8;1;4;103333;0;0;0;0;1;1;1;90605;0
7228780-1;0;1;2;2;48;47;4;2;8;4;4;30000;0;0;0;0;1;1;1;85804;0
7228788-1;1;1;2;2;23;22;4;3;8;4;4;50000;0;0;0;0;1;1;1;34003;0
7228790-1;0;1;2;2;59;53;4;2;8;1;1;580000;0;0;0;0;1;5;1;107653;0
7228793-1;0;2;1;2;51;49;4;2;8;4;1;440000;0;0;1;1;1;3;1;76077;0
7228795-1;0;1;2;2;53;48;4;2;8;1;4;400000;0;0;1;1;1;4;1;112517;0
7228799-1;2;1;2;2;33;28;4;4;8;4;4;1995712;0;0;0;0;1;1;1;99206;0
7228800-1;0;1;2;2;36;22;4;2;8;4;4;4041790;0;0;0;0;1;1;1;106670;0
7228801-1;1;1;2;1;18;18;4;3;8;4;4;10000;0;0;0;0;1;1;1;15892;0
7228804-1;0;1;2;1;31;16;4;2;8;6;4;30000;0;0;0;0;1;1;1;109300;0
7228806-1;2;1;2;2;61;55;4;4;1;1;4;447416;0;0;1;1;1;1;1;24000;2
7228826-1;1;1;2;2;32;39;4;3;1;2;4;25000;2;2;1;1;1;3;2;50000;0
7228827-1;0;1;2;6;73;73;4;2;1;4;5;350000;0;0;1;0;1;3;2;22500;0
7228829-1;2;2;1;2;36;42;4;5;1;1;4;2550000;2;2;3;3;1;4;3;55000;3
7228832-1;0;1;2;2;50;51;4;2;0;1;4;300000;0;0;1;1;1;3;2;0;0
7228833-1;0;2;1;2;56;66;4;2;0;1;1;345000;0;0;0;0;1;4;2;74606;0
7228834-1;1;1;2;2;44;29;4;3;0;1;1;430000;0;0;1;1;1;4;1;31995;0
7228837-1;0;2;1;2;46;57;4;2;0;3;1;270000;0;0;3;1;1;3;1;88172;0
7228841-1;2;1;2;2;26;23;4;4;0;1;3;230000;0;0;1;3;1;4;2;8703;0
7228845-1;0;2;1;2;58;57;4;2;0;1;1;250000;0;0;1;1;1;3;1;33278;0
7228847-1;0;1;2;2;57;57;4;2;0;1;1;465000;0;0;1;1;1;3;2;32913;0
7228853-1;2;1;2;6;34;30;4;4;0;1;4;375000;0;0;1;0;1;3;1;1146;3
7228854-1;0;1;2;2;27;24;4;2;0;1;1;530000;0;0;1;2;1;3;2;34461;0
7228855-1;4;2;1;2;29;41;4;6;0;4;1;1040000;0;0;1;0;1;4;3;49893;0
7228856-1;2;1;2;2;26;24;4;4;0;1;4;150000;0;0;1;1;1;3;2;113228;0
7228857-1;0;1;2;2;63;63;4;2;0;1;4;450000;0;0;1;1;1;3;2;104209;0
7228860-1;3;2;1;2;21;24;4;4;0;1;1;150000;0;0;1;1;1;4;2;62088;0
7228863-1;0;1;2;2;62;50;4;2;0;1;4;300000;0;0;1;0;1;3;1;88177;0
7228864-1;0;1;2;2;66;66;4;2;0;1;1;535833;0;0;0;0;1;4;1;88870;0
7228865-1;2;1;2;2;50;48;4;4;0;1;4;605000;0;0;1;1;1;4;3;8505;0
7228867-1;0;1;2;2;65;52;4;2;0;1;1;1200000;0;0;1;0;1;3;2;7979;0
7228870-1;0;2;1;2;29;38;4;2;0;4;1;600000;0;0;1;1;1;3;2;82340;0
7228871-1;1;1;2;2;30;30;4;3;0;1;4;100000;0;2;0;3;1;3;2;85457;0
7228872-1;2;2;1;2;28;27;4;4;0;4;1;383750;0;0;1;1;1;4;2;6728;0
7228873-1;0;2;1;2;50;61;4;2;0;1;6;150000;0;0;1;1;1;3;2;19322;0
7228875-1;0;1;2;2;63;76;4;2;0;1;4;375000;0;0;0;1;1;3;1;49609;0
7228876-1;1;2;1;2;26;37;4;3;0;1;1;583000;0;0;1;1;2;3;2;0;1
7228878-1;0;2;1;2;22;27;4;2;0;4;1;350000;0;0;1;1;1;3;1;87057;0
7228884-1;2;1;2;2;49;47;4;4;1;4;4;2020000;2;2;3;3;1;4;3;34000;5
7228886-1;1;1;2;2;36;36;4;3;1;1;1;3751666;2;2;3;3;1;3;2;0;2
7228894-1;0;1;2;2;75;79;4;2;1;1;4;690000;0;0;1;1;1;4;2;32000;2
7228902-1;2;1;2;2;63;53;4;4;1;1;1;2706666;0;2;1;3;1;4;3;30000;2
7228904-1;1;2;1;2;41;50;4;5;1;1;6;1907500;2;0;3;3;1;5;4;200000;0
7228906-1;3;2;1;2;31;34;4;5;1;4;1;6750;0;2;1;1;1;3;2;35000;1
7228908-1;2;2;1;2;27;30;4;3;1;4;1;3750;0;2;1;1;1;3;2;25000;1
7228910-1;0;1;2;6;71;66;4;2;1;6;1;666666;0;2;1;3;1;4;1;35000;2
7228914-1;1;1;2;6;55;48;4;3;1;1;1;2100000;0;0;1;1;1;5;2;200000;0
7228924-1;0;2;1;2;78;70;4;2;1;4;4;2500;0;0;0;1;2;5;2;36000;0
7228930-1;3;1;2;2;36;26;4;5;1;1;4;6750;0;0;1;1;2;4;2;45000;0
