DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7122947;2;1;2;4;163,207462580045
7122948;1;1;1;3;161,286269594573
7122948;2;1;2;4;161,286269594573
7122951;1;1;1;2;153,8738378864
7122951;2;1;2;3;153,8738378864
7122952;1;1;1;3;188,495335506081
7122952;2;1;2;4;188,495335506081
7122959;1;1;1;3;149,6453424668
7122959;2;1;2;4;149,6453424668
7122959;3;1;3;5;149,6453424668
7122961;1;1;1;4;114,203512810421
7122961;2;1;2;5;114,203512810421
7122961;3;1;3;6;114,203512810421
7122990;1;1;1;4;223,133597239518
7122995;1;1;1;4;178,479057960188
7123001;1;1;1;3;129,951452644514
7123005;1;1;1;3;164,450355319657
7123005;2;1;2;7;164,450355319657
7123011;1;1;1;5;174,330849992551
7123027;1;1;1;3;100,864429063739
7123032;1;1;1;3;111,24682262604
7123035;1;1;1;3;117,328534359763
7123035;2;1;2;4;117,328534359763
7123067;1;1;1;3;687,155405202587
7123068;1;1;1;3;274,57033604542
7123073;1;1;1;2;396,52582430823
7123073;2;1;2;3;396,52582430823
7123074;1;1;1;3;768,616756127203
7123074;2;1;2;4;768,616756127203
7123074;3;1;3;5;768,616756127203
7123076;1;1;1;1;362,788917871836
7123093;1;1;1;3;559,081660486523
7123093;2;1;2;4;559,081660486523
7123094;1;1;1;1;288,694956283099
7123103;1;1;1;1;603,270341154698
7123112;1;1;1;4;390,778093657631
7123158;1;1;1;2;34,0852775455688
7123158;2;1;2;3;34,0852775455688
7123161;1;1;1;4;52,0948485255524
7123170;1;1;1;3;38,9082046201264
7123170;2;1;2;4;38,9082046201264
7123175;1;1;1;1;101,597521049018
7123176;1;1;1;4;106,770516078709
7123178;1;1;1;1;91,56116825648
7123182;1;1;1;2;97,7309672279899
7123186;1;1;1;2;83,3854008068982
7123186;2;1;2;3;83,3854008068982
7123187;1;1;1;3;85,8078526803777
7123195;1;1;1;2;98,5343872305599
7123195;2;1;2;3;98,5343872305599
7123196;1;1;1;3;82,5419070890245
7123198;1;1;1;3;116,76102341956
7123198;2;1;2;4;116,76102341956
7123199;1;1;1;2;76,3680513260091
7123201;1;1;1;3;78,2900307330845
7123201;2;1;2;4;78,2900307330845
7123214;1;1;1;4;62,2857445547726
7123217;1;1;1;3;30,8313912359644
7123222;1;1;1;3;59,4512983565539
7123264;1;1;1;3;232,081415413663
7123268;1;1;1;3;339,591997241492
7123291;1;1;1;4;218,31099619348
7123291;2;1;2;5;218,31099619348
7123311;1;1;1;2;238,528474620817
7123321;1;1;1;4;170,485799444358
7123321;2;1;2;5;170,485799444358
7123331;1;1;1;3;206,952362375245
7123338;1;1;1;3;346,185326029767
7123338;2;1;2;4;346,185326029767
7123340;1;1;1;4;342,975775121971
7123370;1;1;1;3;147,472317307416
7123370;2;1;2;4;147,472317307416
7123371;1;1;1;2;142,537685351639
7123380;1;1;1;3;191,025975728505
7123380;2;1;2;4;191,025975728505
7123380;3;1;3;5;191,025975728505
7123392;1;1;1;3;199,203052739437
7123392;2;1;2;4;199,203052739437
7123393;1;1;1;3;95,2438529865927
7123404;1;1;1;4;28,1105328017827
7123404;2;1;2;5;28,1105328017827
7123405;1;1;1;4;55,8971643380009
7123427;1;1;1;4;9,7712933853208
7123460;1;1;1;4;15,2201271506622
7123498;1;1;1;3;34,622062908573
7123498;2;1;2;4;34,622062908573
7123507;1;1;1;2;22,0257839036242
7123523;1;1;1;3;38,3075134505772
7123531;1;1;1;3;55,4846930595309
7123531;2;1;2;4;55,4846930595309
7123533;1;1;1;3;40,3418155499518
7123533;2;1;2;4;40,3418155499518
7123535;1;1;1;4;37,0394327166909
7123537;1;1;1;5;46,0431396801105
7123541;1;1;1;3;44,5824345564433
7123541;2;1;2;4;44,5824345564433
7123542;1;1;1;3;38,8738902712306
7123542;2;1;2;4;38,8738902712306
7123549;1;1;1;3;46,6892846465208
7123557;1;1;1;4;40,1834771111736
7123567;1;1;1;1;44,9657664200488
7123572;1;1;1;3;84,3247484030901
7123572;3;1;3;5;84,3247484030901
7123572;2;1;2;4;84,3247484030901
7123578;1;1;1;3;41,0793720687239
7123579;1;1;1;3;42,9685447221519
7123601;1;1;1;3;32,3198032715626
7123601;2;1;2;4;32,3198032715626
7123602;1;1;1;3;43,2059360653589
7123602;2;1;2;4;43,2059360653589
7123604;1;1;1;3;39,0657246474529
7123608;1;1;1;2;21,2948511875437
7123608;2;1;2;3;21,2948511875437
7123608;3;1;3;5;21,2948511875437
7123609;1;2;1;3;20,5997367562076
7123610;1;1;1;3;61,2519227644651
7123611;1;1;1;3;23,4908323755571
7123611;2;1;2;4;23,4908323755571
7123611;3;1;3;5;23,4908323755571
7123612;1;1;1;2;19,9173024030283
7123614;1;1;1;3;27,52879413243
7123614;2;1;2;4;27,52879413243
7123615;1;1;1;4;27,2713558223063
7123615;2;1;2;5;27,2713558223063
7123615;3;1;3;6;27,2713558223063
7123618;1;1;1;3;23,8418936756698
7123619;1;1;1;2;73,999448478859
7123619;2;1;2;3;73,999448478859
7123621;1;1;1;3;25,1080059859887
7123621;2;1;2;4;25,1080059859887
7123637;1;1;1;4;28,5027825741982
7123640;1;1;1;3;67,8994052255525
7123644;1;1;1;3;62,8638735188407
7123647;1;1;1;4;84,8740744960878
7123661;1;1;1;4;69,6098965887415
7123661;2;1;2;5;69,6098965887415
7123677;1;1;1;4;109,743747388869
7123677;2;1;2;5;109,743747388869
7123712;1;1;1;3;14,3524870719363
7123712;2;1;2;4;14,3524870719363
7123712;3;1;3;5;14,3524870719363
7123740;1;1;1;3;10,0129251614758
7123740;2;1;2;4;10,0129251614758
7123740;3;1;3;5;10,0129251614758
7123751;1;1;1;2;25,7665024253447
7123751;2;1;2;3;25,7665024253447
7123751;3;1;3;4;25,7665024253447
7123753;1;1;1;2;15,4563288717046
7123761;1;1;1;4;24,6014628574114
7123761;2;1;2;5;24,6014628574114
7123769;1;1;1;4;28,7262843971941
7123770;1;1;1;3;28,7262843971941
7123770;2;1;2;4;28,7262843971941
7123774;1;1;1;3;30,0564407664879
