DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P8692S3A1;FEX_C
7125449;1;1;1;1;220,713972823762
7125449;2;1;2;2;220,713972823762
7125457;1;1;1;1;1009,36995006101
7125457;2;1;2;2;1009,36995006101
7125462;1;1;1;1;1268,75379878331
7125462;2;1;2;2;1268,75379878331
7125462;3;1;3;3;1268,75379878331
7125514;1;1;1;1;150,866566925891
7125514;2;1;2;2;150,866566925891
7125535;1;1;1;1;155,9107055769
7125535;2;1;2;2;155,9107055769
7125538;1;1;1;1;138,910879039347
7125538;2;1;2;2;138,910879039347
7125538;3;1;3;3;138,910879039347
7125554;1;1;1;1;205,480951970846
7125554;2;1;2;2;205,480951970846
7125562;1;1;1;1;173,732044945139
7125562;2;1;2;2;173,732044945139
7125567;1;1;1;3;106,932772767223
7125567;2;1;2;4;106,932772767223
7125569;1;1;1;1;76,6011870865175
7125569;2;1;2;2;76,6011870865175
7125570;1;1;1;1;67,1668026668307
7125570;2;1;2;2;67,1668026668307
7125570;3;1;3;3;67,1668026668307
7125570;4;1;4;4;67,1668026668307
7125570;5;1;5;5;67,1668026668307
7125570;6;1;6;6;67,1668026668307
7125578;1;1;1;1;53,863511667724
7125578;2;1;2;2;53,863511667724
7125607;1;1;1;1;227,866013577217
7125607;2;1;2;2;227,866013577217
7125614;1;1;1;1;239,241605389164
7125614;2;1;2;2;239,241605389164
7125646;1;1;1;1;10,1264699872024
7125646;2;1;2;4;10,1264699872024
7125670;1;1;1;1;179,144972172946
7125670;2;1;2;2;179,144972172946
7125672;1;1;1;1;171,530331915491
7125672;2;1;2;2;171,530331915491
7125700;1;1;1;2;161,804665804007
7125700;2;1;2;3;161,804665804007
7125702;1;1;1;1;201,495732605639
7125702;2;1;2;2;201,495732605639
7125746;1;1;1;2;293,960184584658
7125746;2;1;2;3;293,960184584658
7125746;3;1;3;4;293,960184584658
7125880;1;1;1;1;23,9463586660436
7125880;2;1;2;2;23,9463586660436
7125889;1;1;1;1;36,6436173993376
7125889;2;1;2;2;36,6436173993376
7125893;1;1;1;1;634,130355504009
7125893;2;1;2;3;634,130355504009
7125893;3;1;3;4;634,130355504009
7125930;1;1;1;1;646,141733496186
7125930;2;1;2;2;646,141733496186
7125968;1;1;1;1;705,662271542832
7125968;2;1;2;2;705,662271542832
7125972;1;1;1;1;619,057262549766
7125972;2;1;2;2;619,057262549766
7126040;1;1;1;1;178,912944744039
7126040;2;1;2;2;178,912944744039
7126042;1;1;1;1;203,354227037734
7126042;2;1;2;2;203,354227037734
7126046;1;1;1;1;266,475039753304
7126046;2;1;2;2;266,475039753304
7126066;1;1;1;1;83,8848395788965
7126066;2;1;2;2;83,8848395788965
7126283;1;1;1;1;4,46749721158717
7126283;2;1;2;2;4,46749721158717
7126283;3;1;3;4;4,46749721158717
7126316;1;1;1;1;11,2693581787598
7126316;2;1;2;2;11,2693581787598
7126334;1;1;1;1;86,0122221869808
7126334;2;1;2;2;86,0122221869808
7126356;1;1;1;1;157,606304027947
7126356;2;1;2;2;157,606304027947
7126362;1;1;1;1;83,7759604980294
7126362;2;1;2;2;83,7759604980294
7126365;1;1;1;1;85,2142299446356
7126365;2;1;2;2;85,2142299446356
7126380;1;1;1;1;82,3958394077919
7126380;2;1;2;2;82,3958394077919
7126382;1;1;1;1;83,1402713516661
7126382;2;1;2;2;83,1402713516661
7126422;1;1;1;2;38,3678774427923
7126422;2;1;2;5;38,3678774427923
7126428;1;1;1;1;37,3218703875652
7126428;2;1;2;2;37,3218703875652
7126449;1;1;1;1;13,5138048388965
7126449;2;1;2;2;13,5138048388965
7126455;1;1;1;1;19,061269505496
7126455;2;1;2;2;19,061269505496
7126535;1;1;1;1;164,055266222761
7126535;2;1;2;2;164,055266222761
